time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume OMG,open OMG
5/19/2020 15:00,-0.04188614,260,-10.8903964,1096283.6,1.1506
5/19/2020 18:00,-0.078796296,250,-19.699074,1499398.2,1.156566667
5/19/2020 21:00,-0.05479331,332,-18.19137892,1087004.8,1.160333333
5/20/2020 0:00,-0.017745098,139,-2.466568622,1243064.8,1.179466667
5/20/2020 3:00,-0.111742424,120,-13.40909088,869800.8,1.1771
5/20/2020 6:00,-0.018398268,54,-0.993506472,310244.9,1.163733333
5/20/2020 9:00,0.025793651,95,2.450396845,219860.7,1.155566667
5/20/2020 12:00,-0.012698413,244,-3.098412772,928402.9,1.171333333
5/20/2020 15:00,-0.064537037,316,-20.39370369,1272984.9,1.1485
5/20/2020 18:00,0.015436508,305,4.70813494,368109,1.168033333
5/20/2020 21:00,-0.049581797,1531,-75.90973121,180378.8,1.171533333
5/21/2020 0:00,-0.135480573,100,-13.5480573,180321.2,1.161233333
5/21/2020 3:00,-0.027710843,67,-1.856626481,459250.5,1.1589
5/21/2020 6:00,-0.156289308,91,-14.22232703,564873.5,1.180333333
5/21/2020 9:00,-0.09047619,110,-9.9523809,1049916.1,1.224333333
5/21/2020 12:00,-0.013035382,167,-2.176908794,3643972.9,1.302066667
5/21/2020 15:00,-0.064948593,224,-14.54848483,5117257,1.311533333
5/21/2020 18:00,-0.010922787,207,-2.261016909,6284310.8,1.4955
5/21/2020 21:00,-0.027337175,312,-8.5291986,2619904,1.5067
5/22/2020 0:00,0.001937985,80,0.1550388,1860786.8,1.538766667
5/22/2020 3:00,0.056547619,123,6.955357137,3381780.8,1.542266667
5/22/2020 6:00,0.009689922,98,0.949612356,15439764.9,1.9536
5/22/2020 9:00,-0.081761006,81,-6.622641486,3952652.5,1.850533333
5/22/2020 12:00,0.019491525,245,4.775423625,5048320,1.7229
5/22/2020 15:00,0.055243446,239,13.20318359,10249415.2,1.909333333
5/22/2020 18:00,-0.038955026,247,-9.621891422,1761218.4,1.899433333
5/22/2020 21:00,-0.046544002,1524,-70.93305905,1481680.9,1.8211
5/23/2020 0:00,0.077071291,121,9.325626211,5572029.7,1.903333333
5/23/2020 3:00,-0.027950311,66,-1.844720526,1693291.2,1.988233333
5/23/2020 6:00,-0.034682081,63,-2.184971103,1406787.5,1.9282
5/23/2020 9:00,0.011387164,104,1.184265056,856728,1.902866667
5/23/2020 12:00,-0.048417132,132,-6.391061424,924188.2,1.9507
5/23/2020 15:00,-0.042134831,171,-7.205056101,1599101.9,1.921733333
5/23/2020 18:00,-0.0375,162,-6.075,913151,1.886966667
5/23/2020 21:00,-0.057416017,567,-32.55488164,749088.2,1.901866667
5/24/2020 0:00,-0.072510823,89,-6.453463247,868379.3,1.888733333
5/24/2020 3:00,0.032485876,85,2.76129946,1259971.2,1.8495
5/24/2020 6:00,-0.074351297,79,-5.873752463,1415984.8,1.762666667
5/24/2020 9:00,-0.049242424,123,-6.056818152,573240.8,1.7512
5/24/2020 12:00,0.006493506,166,1.077921996,965310,1.722933333
5/24/2020 15:00,0.001694915,177,0.299999955,950719,1.704866667
5/24/2020 18:00,-0.080524345,162,-13.04494389,2600321.8,1.644566667
5/24/2020 21:00,-0.091510112,257,-23.51809878,1489199,1.607633333
5/25/2020 0:00,-0.002008032,88,-0.176706816,1175785.3,1.554466667
5/25/2020 3:00,-0.045498084,100,-4.5498084,1973743.2,1.5894
5/25/2020 6:00,0.011976048,41,0.491017968,2542320,1.728466667
5/25/2020 9:00,-0.016377649,78,-1.277456622,482957.4,1.643433333
5/25/2020 12:00,0.001937984,163,0.315891392,1425521.1,1.670833333
5/25/2020 15:00,-0.065648148,250,-16.412037,1074340.1,1.7074
5/25/2020 18:00,0.018783069,242,4.545502698,1821616.9,1.731466667
5/25/2020 21:00,-0.109909626,1550,-170.3599203,569076.5,1.736
5/26/2020 0:00,-0.045808967,108,-4.947368436,938120,1.734166667
5/26/2020 3:00,-0.031468531,69,-2.171328639,637164.2,1.738433333
5/26/2020 6:00,0,52,0,639022.8,1.7066
5/26/2020 9:00,-0.062893082,69,-4.339622658,311295.8,1.6764
5/26/2020 12:00,-0.020670391,185,-3.824022335,838038.4,1.6464
5/26/2020 15:00,-0.088454376,165,-14.59497204,572320.6,1.627966667
5/26/2020 18:00,-0.118539326,193,-22.87808992,744072.9,1.640333333
5/26/2020 21:00,-0.134106114,808,-108.3577401,357137.7,1.643666667
5/27/2020 0:00,-0.06835206,121,-8.27059926,345338.6,1.644266667
5/27/2020 3:00,-0.081372549,82,-6.672549018,301016,1.633766667
5/27/2020 6:00,-0.01910828,56,-1.07006368,244832.8,1.630466667
5/27/2020 9:00,0.001926782,68,0.131021176,345140,1.648266667
5/27/2020 12:00,-0.040277778,218,-8.780555604,378713,1.662666667
5/27/2020 15:00,0.05276455,215,11.34437825,893576.5,1.675933333
5/27/2020 18:00,-0.004708098,225,-1.05932205,347062.7,1.6516
5/27/2020 21:00,0.052139714,682,35.55928495,330499.4,1.646266667
5/28/2020 0:00,0.045588235,131,5.972058785,215081,1.6475
5/28/2020 3:00,-0.020958084,69,-1.446107796,527427.8,1.633833333
5/28/2020 6:00,-0.038095238,52,-1.980952376,269931.7,1.614766667
5/28/2020 9:00,-0.048560667,110,-5.34167337,158071.1,1.598033333
5/28/2020 12:00,0.036203704,252,9.123333408,494311.2,1.6323
5/28/2020 15:00,0.067261905,271,18.22797626,345319.5,1.6338
5/28/2020 18:00,-0.023929237,258,-6.173743146,320776.3,1.6393
5/28/2020 21:00,-0.067831846,480,-32.55928608,413732.1,1.6221
5/29/2020 0:00,0.004708098,125,0.58851225,383434.6,1.613866667
5/29/2020 3:00,-0.046184739,81,-3.740963859,388074.4,1.5996
5/29/2020 6:00,-0.133136095,123,-16.37573969,226956.2,1.622633333
5/29/2020 9:00,-0.142045455,139,-19.74431825,112327.1,1.612233333
5/29/2020 12:00,-0.025561798,242,-6.185955116,568147.1,1.628533333
5/29/2020 15:00,0.020509259,312,6.398888808,317622.3,1.608366667
5/29/2020 18:00,-0.020136054,259,-5.215237986,184450.7,1.612566667
