time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XTZ,open XTZ
8/6/2019 15:00,-0.062937063,47,-2.958041961,980934.3,1.7846
8/6/2019 18:00,-0.094017094,60,-5.64102564,683147.44,1.516733333
8/6/2019 21:00,-0.036144578,36,-1.301204808,579225.96,1.468066667
8/7/2019 0:00,-0.068322981,41,-2.801242221,81434.09,1.4769
8/7/2019 3:00,0.007092199,21,0.148936179,88017.45,1.4694
8/7/2019 6:00,0,30,0,23469,1.467966667
8/7/2019 9:00,-0.016129032,10,-0.16129032,41355.9,1.452166667
8/7/2019 12:00,-0.058823529,58,-3.411764682,157762.93,1.406633333
8/7/2019 15:00,0.045731707,78,3.567073146,135213.77,1.399366667
8/7/2019 18:00,0.028846154,50,1.4423077,170879.03,1.367933333
8/7/2019 21:00,0.054263566,55,2.98449613,136742.56,1.354133333
8/8/2019 0:00,-0.013292434,48,-0.638036832,149056.5,1.3448
8/8/2019 3:00,0.00877193,15,0.13157895,235030.28,1.3969
8/8/2019 6:00,-0.017699115,13,-0.230088495,83539.18,1.408866667
8/8/2019 9:00,-0.003424658,22,-0.075342476,33729.29,1.404866667
8/8/2019 12:00,-0.042682927,45,-1.920731715,33048.31,1.355833333
8/8/2019 15:00,0.031847134,31,0.987261154,403048.32,1.368233333
8/8/2019 18:00,0.012903226,44,0.567741944,6006443.65,1.5501
8/8/2019 21:00,0.018962076,41,0.777445116,1515935.67,1.534533333
8/9/2019 0:00,-0.003496503,41,-0.143356623,991140.36,1.555733333
8/9/2019 3:00,-0.02027027,29,-0.58783783,599409.28,1.507466667
8/9/2019 6:00,0.048611111,25,1.215277775,174383.81,1.492466667
8/9/2019 9:00,-0.045774648,32,-1.464788736,333616.23,1.425966667
8/9/2019 12:00,-0.032654127,76,-2.481713652,888566.13,1.426566667
8/9/2019 15:00,-0.003378378,50,-0.1689189,572164.79,1.413
8/9/2019 18:00,-0.045454545,44,-1.99999998,442290,1.418433333
8/9/2019 21:00,-0.072413793,37,-2.679310341,327196.5,1.447433333
8/10/2019 0:00,-0.00462963,32,-0.14814816,579796.09,1.424
8/10/2019 3:00,0,10,0,159418.36,1.415966667
8/10/2019 6:00,-0.035087719,18,-0.631578942,124891.1,1.400733333
8/10/2019 9:00,-0.025641026,16,-0.410256416,105439.8,1.398533333
8/10/2019 12:00,-0.009803922,39,-0.382352958,185023.38,1.376066667
8/10/2019 15:00,-0.032485876,41,-1.331920916,345608.27,1.369
8/10/2019 18:00,0,45,0,192596.82,1.3661
