time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume ETH,open ETH
1/5/2019 21:00,-0.101250504,3396,-343.8467116,25269.65586,156.3033333
1/6/2019 0:00,-0.08751626,3130,-273.9258938,42272.62015,152.8966667
1/6/2019 3:00,-0.088628627,2732,-242.133409,14134.74403,151.3
1/6/2019 6:00,-0.068589452,2953,-202.5446518,7287.7121,151.29
1/6/2019 9:00,-0.119906421,3060,-366.9136483,12928.16514,151.8933333
1/6/2019 12:00,-0.081652606,3479,-284.0694163,9660.665128,152.1633333
1/6/2019 15:00,-0.091170636,4706,-429.049013,44102.59875,152.0866667
1/6/2019 18:00,-0.10702288,4477,-479.1414338,23047.44202,157.15
1/6/2019 21:00,-0.086869896,3789,-329.1500359,20004.91488,155.22
1/7/2019 0:00,-0.099421644,3822,-379.9895234,27886.40803,155.5566667
1/7/2019 3:00,-0.037821428,3101,-117.2842482,19183.77309,154.6266667
1/7/2019 6:00,-0.070956984,3304,-234.4418751,6114.708377,155.1633333
1/7/2019 9:00,-0.135447336,4287,-580.6627294,23870.76911,152.7266667
1/7/2019 12:00,-0.106341532,4803,-510.7583782,10423.89673,152.4466667
1/7/2019 15:00,-0.088526079,5376,-475.9162007,20456.81306,152.52
1/7/2019 18:00,-0.059834594,5121,-306.4129559,15002.59859,152.5966667
1/7/2019 21:00,-0.026370257,4709,-124.1775402,22240.9045,150.65
1/8/2019 0:00,-0.082874548,3807,-315.5034042,23535.7877,150.6666667
1/8/2019 3:00,-0.06187703,3241,-200.5434542,11373.38258,147.9833333
1/8/2019 6:00,-0.049030822,3730,-182.8849661,9339.753091,147.75
1/8/2019 9:00,-0.07659016,4516,-345.8811626,11432.99997,148.9233333
1/8/2019 12:00,-0.032075508,5125,-164.3869785,18901.95162,151.5133333
1/8/2019 15:00,-0.030839172,5442,-167.826774,24903.44328,150.3333333
1/8/2019 18:00,-0.028626371,4714,-134.9447129,15965.20788,149.2466667
1/8/2019 21:00,-0.000909826,4305,-3.91680093,8272.107872,149.2733333
1/9/2019 0:00,-0.047393249,3534,-167.487742,21247.99659,149.8666667
1/9/2019 3:00,-0.061663362,3158,-194.7328972,11682.44836,151.9766667
1/9/2019 6:00,-0.053991266,3648,-196.9601384,5269.681512,151.07
1/9/2019 9:00,-0.154111744,3820,-588.7068621,4891.315888,150.7666667
1/9/2019 12:00,-0.15390698,4822,-742.1394576,8947.262566,150.5133333
1/9/2019 15:00,-0.065856045,5520,-363.5253684,13936.78191,149.4233333
1/9/2019 18:00,-0.096624213,5349,-516.8429153,9051.314071,149.91
1/9/2019 21:00,-0.086545764,4223,-365.4827614,19926.31013,149.6
1/10/2019 0:00,-0.083349556,3584,-298.7248087,7244.362256,150.1766667
1/10/2019 3:00,-0.07673087,3182,-244.1576283,9050.612743,149.99
1/10/2019 6:00,-0.112127305,4274,-479.2321016,92852.20767,140.75
1/10/2019 9:00,-0.105816969,4154,-439.5636892,45348.2536,131.6966667
1/10/2019 12:00,-0.123245981,5073,-625.2268616,28808.13509,131.8233333
1/10/2019 15:00,-0.092098975,5940,-547.0679115,73126.4218,129.4133333
1/10/2019 18:00,-0.110213186,5158,-568.4796134,68559.84748,125.8266667
1/10/2019 21:00,-0.088355012,3997,-353.154983,21642.77904,127.2566667
1/11/2019 0:00,-0.064001709,3462,-221.5739166,21723.26587,127.49
1/11/2019 3:00,-0.085752889,3038,-260.5172768,16371.65683,126.8633333
1/11/2019 6:00,-0.070959831,3801,-269.7183176,7767.001746,127.7333333
1/11/2019 9:00,-0.084516959,3965,-335.1097424,21853.14835,125.1
1/11/2019 12:00,-0.126204297,4416,-557.3181756,24669.38634,123.49
1/11/2019 15:00,-0.108145549,4807,-519.855654,29082.41086,125.9266667
1/11/2019 18:00,-0.134448003,4444,-597.4869253,20611.24757,126.41
1/11/2019 21:00,-0.152059576,3849,-585.277308,19444.28099,124.8833333
1/12/2019 0:00,-0.078833522,3022,-238.2349035,11895.96841,125.6066667
1/12/2019 3:00,-0.120778765,2702,-326.344223,9795.079033,126.2566667
1/12/2019 6:00,-0.10902169,2860,-311.8020334,12830.10709,126.0533333
1/12/2019 9:00,-0.047878277,2672,-127.9307561,4503.022352,125.5066667
1/12/2019 12:00,-0.101615182,3729,-378.9230137,7837.0746,125.8333333
1/12/2019 15:00,-0.146400488,3990,-584.1379471,19725.49442,125.7666667
1/12/2019 18:00,-0.079665888,3515,-280.0255963,5485.570049,125.32
1/12/2019 21:00,-0.126237507,3079,-388.6852841,16890.62403,124.7266667
1/13/2019 0:00,-0.089534454,2598,-232.6105115,11199.97771,123.9833333
1/13/2019 3:00,-0.13709178,2447,-335.4635857,5474.783821,124.3433333
1/13/2019 6:00,-0.122025837,2505,-305.6747217,3138.138173,124.1266667
1/13/2019 9:00,-0.116000638,2760,-320.1617609,2734.38063,124.04
1/13/2019 12:00,-0.134317018,3517,-472.3929523,7399.701057,123.9933333
1/13/2019 15:00,-0.154337598,4575,-706.0945109,69414.34449,121.0266667
1/13/2019 18:00,-0.176548506,3895,-687.6564309,30114.26556,115.0733333
1/13/2019 21:00,-0.130874628,3312,-433.4567679,15736.95645,115.11
1/14/2019 0:00,-0.124799437,2902,-362.1679662,20869.83921,116.3266667
1/14/2019 3:00,-0.12435921,2652,-329.8006249,10012.90694,117.16
1/14/2019 6:00,-0.089387882,3383,-302.3992048,6580.025458,117.1833333
1/14/2019 9:00,-0.103713984,4213,-436.9470146,5997.579147,116.7833333
1/14/2019 12:00,-0.094311048,4720,-445.1481466,7191.045181,116.78
1/14/2019 15:00,-0.121573291,5939,-722.0237752,97017.90696,124.65
1/14/2019 18:00,-0.070989158,4834,-343.1615898,36280.71297,129.12
1/14/2019 21:00,-0.104177258,4428,-461.2968984,19624.71046,128.0933333
1/15/2019 0:00,-0.159266064,3635,-578.9321426,16143.34886,128.8166667
1/15/2019 3:00,-0.117708573,3143,-369.9580449,9432.798737,128.43
1/15/2019 6:00,-0.10602537,3507,-371.8309726,5755.042416,128.19
1/15/2019 9:00,-0.204672027,3959,-810.2965549,14532.26925,126.8933333
1/15/2019 12:00,-0.150426576,4449,-669.2478366,15290.82708,127.5266667
1/15/2019 15:00,-0.157840406,5215,-823.1377173,35641.18799,127.1633333
1/15/2019 18:00,-0.116391648,4665,-542.9670379,64804.29191,126.2566667
1/15/2019 21:00,-0.045361175,4892,-221.9068681,40234.45742,118.4966667
1/16/2019 0:00,-0.082884692,3307,-274.0996764,14839.52924,120.1633333
1/16/2019 3:00,-0.107420263,2905,-312.055864,14069.14034,120.2066667
1/16/2019 6:00,-0.109511686,3594,-393.5849995,17649.72835,120.6366667
1/16/2019 9:00,-0.138429789,4274,-591.6489182,6392.414232,122.46
1/16/2019 12:00,-0.100389413,4944,-496.3252579,39297.33374,123.2333333
1/16/2019 15:00,-0.115393145,5005,-577.5426907,23657.22288,122.1266667
1/16/2019 18:00,-0.133809825,4419,-591.3056167,20307.74991,121.9733333
1/16/2019 21:00,-0.134565996,3832,-515.6568967,12695.57226,121.8133333
1/17/2019 0:00,-0.156862756,3340,-523.921605,11072.64889,121.9966667
1/17/2019 3:00,-0.151892349,2954,-448.6899989,9187.852251,120.2966667
1/17/2019 6:00,-0.154213942,3448,-531.729672,11869.15131,120.7
1/17/2019 9:00,-0.145991361,3793,-553.7452323,17658.41135,120.5566667
1/17/2019 12:00,-0.191762253,4783,-917.1988561,7247.291082,120.1266667
1/17/2019 15:00,-0.139167276,5233,-728.2623553,31439.34375,120.56
1/17/2019 18:00,-0.172157871,4667,-803.460784,16422.68235,121.7233333
1/17/2019 21:00,-0.176306834,3889,-685.6572774,13093.37722,121.7833333
1/18/2019 0:00,-0.164398218,3439,-565.3654717,7841.062437,122.1633333
1/18/2019 3:00,-0.094968912,3240,-307.6992749,5569.576714,121.69
1/18/2019 6:00,-0.172488009,3605,-621.8192724,4301.404191,121.6166667
1/18/2019 9:00,-0.119207587,4060,-483.9828032,8060.627595,121.3566667
1/18/2019 12:00,-0.138198251,4718,-652.0193482,10862.42018,120.5566667
1/18/2019 15:00,-0.07960176,5288,-420.9341069,12223.45759,120.62
1/18/2019 18:00,-0.101023033,4454,-449.956589,9387.375788,119.23
1/18/2019 21:00,-0.180331941,3792,-683.8187203,7702.830338,119.4766667
1/19/2019 0:00,-0.119962277,2946,-353.408868,10293.29832,119.8766667
1/19/2019 3:00,-0.110342508,2513,-277.2907226,4204.141648,120.4333333
1/19/2019 6:00,-0.072680335,2741,-199.2167982,1321.839452,120.3566667
1/19/2019 9:00,-0.083702051,3295,-275.798258,38659.33931,122.0733333
1/19/2019 12:00,-0.123429159,3550,-438.1735145,8135.384869,124.4033333
1/19/2019 15:00,-0.103833379,4115,-427.2743546,10028.95236,124.4333333
1/19/2019 18:00,-0.208866078,3846,-803.298936,13579.02333,124.1533333
1/19/2019 21:00,-0.200743504,3365,-675.501891,4706.983796,123.9066667
1/20/2019 0:00,-0.151538003,2915,-441.7332787,7258.522988,123.2633333
1/20/2019 3:00,-0.129289172,2540,-328.3944969,3890.271085,123.2766667
1/20/2019 6:00,-0.103566045,2553,-264.4041129,3970.287354,122.92
1/20/2019 9:00,-0.116807404,2921,-341.1944271,24721.79184,122.8766667
1/20/2019 12:00,-0.181184456,3699,-670.2013027,24008.97308,118.3333333
1/20/2019 15:00,-0.178225399,4210,-750.3289298,17675.69252,117.3566667
1/20/2019 18:00,-0.1636393,3750,-613.647375,9967.886139,116.9533333
1/20/2019 21:00,-0.147533809,3080,-454.4041317,5361.86163,117.7066667
1/21/2019 0:00,-0.121343666,2949,-357.842471,7879.739785,117.3533333
1/21/2019 3:00,-0.110884661,2799,-310.3661661,19363.31336,116.35
1/21/2019 6:00,-0.165043842,3284,-542.0039771,7334.454841,115.8366667
1/21/2019 9:00,-0.203183583,3624,-736.3373048,11858.54093,116.4133333
1/21/2019 12:00,-0.17003426,4170,-709.0428642,10194.00762,117.1066667
1/21/2019 15:00,-0.12181093,4808,-585.6669514,5694.962115,116.5766667
1/21/2019 18:00,-0.156930221,4250,-666.9534393,4248.491446,116.6633333
