time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume EOS,open EOS
4/16/2019 15:00,-0.172489365,5786,-998.0234659,5687.5,5.384666667
4/16/2019 18:00,-0.100718946,5211,-524.8464276,8752.3,5.482
4/16/2019 21:00,-0.185536947,4297,-797.2522613,3832.2,5.486333333
4/17/2019 0:00,-0.130041387,3803,-494.5473948,11303.1,5.514666667
4/17/2019 3:00,-0.150240191,3401,-510.9668896,4396.3,5.492333333
4/17/2019 6:00,-0.124115482,4294,-532.9518797,1431.8,5.46
4/17/2019 9:00,-0.114782521,4257,-488.6291919,5261.8,5.448333333
4/17/2019 12:00,-0.122087866,5677,-693.0928153,2117.9,5.424333333
4/17/2019 15:00,-0.113491514,5645,-640.6595965,2902.9,5.413666667
4/17/2019 18:00,-0.087769964,5228,-458.8613718,6597.1,5.416333333
4/17/2019 21:00,-0.179951691,3910,-703.6111118,3689.3,5.449666667
4/18/2019 0:00,-0.112632118,3583,-403.5608788,15718.7,5.476
4/18/2019 3:00,-0.177191567,3235,-573.2147192,4868.2,5.529666667
4/18/2019 6:00,-0.138306144,4076,-563.7358429,3467.2,5.498333333
4/18/2019 9:00,-0.167292449,4001,-669.3370884,803.7,5.47
4/18/2019 12:00,-0.095476928,5262,-502.3995951,2618.8,5.462666667
4/18/2019 15:00,-0.125224885,5445,-681.8494988,7606.4,5.484
4/18/2019 18:00,-0.091087334,4902,-446.5101113,11403.6,5.508333333
4/18/2019 21:00,-0.112996004,4034,-455.8258801,9770,5.513666667
4/19/2019 0:00,-0.087343547,3339,-291.6401034,917,5.456
4/19/2019 3:00,-0.03117151,3125,-97.41096875,10623.4,5.426666667
4/19/2019 6:00,-0.068969679,3877,-267.3954455,3171.9,5.458666667
4/19/2019 9:00,-0.132223426,4112,-543.7027277,5229.2,5.467
4/19/2019 12:00,-0.069475311,5223,-362.8695494,2114.3,5.453333333
4/19/2019 15:00,-0.112880384,5366,-605.7161405,9121.6,5.454666667
4/19/2019 18:00,-0.162171711,4662,-756.0445167,677.3,5.456333333
4/19/2019 21:00,-0.124321506,3720,-462.4760023,1073.7,5.461333333
4/20/2019 0:00,-0.135979509,3230,-439.2138141,8778.1,5.482333333
4/20/2019 3:00,-0.102945145,2655,-273.31936,2114.7,5.487333333
4/20/2019 6:00,-0.118242037,3378,-399.421601,2356.1,5.493
4/20/2019 9:00,-0.139477014,3278,-457.2056519,4048.3,5.476333333
4/20/2019 12:00,-0.131608314,3964,-521.6953567,4389,5.458
4/20/2019 15:00,-0.113698798,4184,-475.7157708,1631.9,5.448333333
4/20/2019 18:00,-0.148821716,4132,-614.9313305,2002,5.442333333
4/20/2019 21:00,-0.094951904,3740,-355.120121,4216.2,5.425
4/21/2019 0:00,-0.147308498,3250,-478.7526185,898.1,5.464666667
4/21/2019 3:00,-0.110100801,2762,-304.0984124,8362.2,5.441333333
4/21/2019 6:00,-0.075567175,3338,-252.2432302,22508.5,5.397666667
4/21/2019 9:00,-0.071840373,3301,-237.1450713,8250.7,5.205666667
4/21/2019 12:00,-0.151292543,4162,-629.679564,16593.1,5.157666667
4/21/2019 15:00,-0.161490679,4203,-678.7453238,4530.2,5.152
4/21/2019 18:00,-0.129951006,3752,-487.5761745,5564.4,5.142666667
4/21/2019 21:00,-0.149329597,3700,-552.5195089,5581.5,5.189666667
4/22/2019 0:00,-0.138939147,3324,-461.8337246,3589.3,5.217666667
4/22/2019 3:00,-0.123228183,2907,-358.224328,1480.6,5.163
4/22/2019 6:00,-0.155492501,3870,-601.7559789,179.7,5.1935
4/22/2019 9:00,-0.155073056,4093,-634.7140182,1573.2,5.218666667
4/22/2019 12:00,-0.115814669,5179,-599.8041708,6955.2,5.221
