time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
6/27/2019 15:00,-0.106263433,8544,-907.9147716,66843.27,2.35
6/27/2019 18:00,-0.112171681,7484,-839.4928606,129212.49,2.392636667
6/27/2019 21:00,-0.099328994,5946,-590.6101983,93860.2,2.270336667
6/28/2019 0:00,-0.103621791,4698,-486.8151741,56066.17,2.319923333
6/28/2019 3:00,-0.143535362,3891,-558.4960935,17575.12,2.269663333
6/28/2019 6:00,-0.173894762,4805,-835.5643314,74815.79,2.301663333
6/28/2019 9:00,-0.148308628,5223,-774.615964,29679.62,2.270066667
6/28/2019 12:00,-0.109157504,6497,-709.1963035,29963.96,2.28666
6/28/2019 15:00,-0.107488504,6684,-718.4531607,1368328.23,2.486653333
6/28/2019 18:00,-0.125919549,6326,-796.567067,1996415.5,2.797773333
6/28/2019 21:00,-0.171428314,5041,-864.1701309,1841210.23,2.944523333
6/29/2019 0:00,-0.15121138,4095,-619.2106011,4040031.13,3.2646
6/29/2019 3:00,-0.177342757,3365,-596.7583773,5737079.58,3.797393333
6/29/2019 6:00,-0.194564075,3921,-762.8857381,1059292.35,3.390253333
6/29/2019 9:00,-0.164984586,4042,-666.8676966,953471.48,3.63191
6/29/2019 12:00,-0.178351747,4769,-850.5594814,5221139.9,3.688113333
6/29/2019 15:00,-0.117665939,5181,-609.62723,4545182.28,4.27562
6/29/2019 18:00,-0.117039545,4706,-550.7880988,2365580.66,4.233366667
6/29/2019 21:00,-0.152663469,4075,-622.1036362,2639983.47,4.24602
6/30/2019 0:00,-0.094211512,3463,-326.2544661,2595297.02,3.86955
6/30/2019 3:00,-0.141557992,3102,-439.1128912,1697204.19,4.023316667
6/30/2019 6:00,-0.104618206,3187,-333.4182225,737429.52,3.963283333
6/30/2019 9:00,-0.125030216,3653,-456.735379,573013.64,4.044093333
6/30/2019 12:00,-0.136661618,4369,-597.074609,1473565.61,3.99762
6/30/2019 15:00,-0.200161399,5343,-1069.462355,1087086.24,3.969613333
6/30/2019 18:00,-0.157471453,5003,-787.8296794,997197.64,3.858483333
6/30/2019 21:00,-0.127211845,4435,-564.1845326,2872615.7,3.53191
7/1/2019 0:00,-0.167154422,4055,-677.8111812,1150963.58,3.517463333
7/1/2019 3:00,-0.111652801,3557,-397.1490132,434346.38,3.518443333
7/1/2019 6:00,-0.151028972,4062,-613.4796843,338048.58,3.48021
7/1/2019 9:00,-0.118307608,4769,-564.2089826,751532.07,3.35196
7/1/2019 12:00,-0.174160515,6068,-1056.806005,1511281.97,3.318486667
7/1/2019 15:00,-0.184538334,6924,-1277.743425,3035235.71,3.030003333
