time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume MKR,open MKR
6/9/2020 15:00,-0.025462963,223,-5.678240749,3721.624747,682.1
6/9/2020 18:00,-0.079096045,251,-19.8531073,3033.101413,712.1237667
6/9/2020 21:00,-0.032957515,334,-11.00781001,2374.624143,713.6446
6/10/2020 0:00,-0.03417603,174,-5.94662922,4961.623143,683.7722667
6/10/2020 3:00,-0.0826742,114,-9.4248588,1575.881387,688.9320667
6/10/2020 6:00,-0.032544379,59,-1.920118361,228.350591,691.5418333
6/10/2020 9:00,-0.053493014,101,-5.402794414,752.226524,694.2965333
6/10/2020 12:00,-0.122237828,230,-28.11470044,901.211399,696.4954667
6/10/2020 15:00,-0.075653583,298,-22.54476773,754.841865,691.8723
6/10/2020 18:00,-0.007838416,350,-2.7434456,1649.507938,687.3291667
6/10/2020 21:00,-0.010179915,297,-3.023434755,813.407568,674.7238667
6/11/2020 0:00,0.029190751,180,5.25433518,994.555597,667.5981333
6/11/2020 3:00,-0.034285714,126,-4.319999964,689.79452,672.1899667
6/11/2020 6:00,0.013131313,70,0.91919191,313.005155,682.2713333
6/11/2020 9:00,-0.010658915,96,-1.02325584,420.507204,692.5418667
6/11/2020 12:00,-0.070809793,159,-11.25875709,962.369542,692.4999333
6/11/2020 15:00,-0.035507091,313,-11.11371948,6045.603714,683.4501667
6/11/2020 18:00,-0.090190476,211,-19.03019044,9897.398828,680.6833667
6/11/2020 21:00,0.042790262,270,11.55337074,3373.891366,628.0604
6/12/2020 0:00,-0.096190476,101,-9.715238076,2315.877623,604.1588
6/12/2020 3:00,-0.012596899,55,-0.692829445,917.323285,610.3549
6/12/2020 6:00,-0.020467836,36,-0.736842096,1041.508218,607.1054333
6/12/2020 9:00,-0.035955056,146,-5.249438176,1450.354153,604.9843
6/12/2020 12:00,-0.136363636,168,-22.90909085,2251.628109,594.9767667
6/12/2020 15:00,-0.064074074,293,-18.77370368,2013.188657,595.1482667
6/12/2020 18:00,-0.131032638,267,-34.98571435,1030.608324,595.3021667
6/12/2020 21:00,-0.002177877,1928,-4.198946856,422.931741,592.0180333
6/13/2020 0:00,0.015809524,132,2.086857168,659.557688,593.1274
6/13/2020 3:00,-0.016007533,61,-0.976459513,414.221314,591.6597333
6/13/2020 6:00,0.027027027,46,1.243243242,420.031478,587.4042
6/13/2020 9:00,-0.030346821,62,-1.881502902,296.818062,584.4458667
6/13/2020 12:00,-0.069033531,116,-8.007889596,2706.917257,568.5301667
6/13/2020 15:00,-0.031045491,215,-6.674780565,5211.807244,539.9739333
6/13/2020 18:00,0.036778399,191,7.024674209,1612.006739,556.8645667
6/13/2020 21:00,-0.024581969,672,-16.51908317,1196.804064,552.0272
6/14/2020 0:00,-0.047752809,131,-6.255617979,984.17478,543.1517
6/14/2020 3:00,-0.062222222,44,-2.737777768,813.681065,531.4328667
6/14/2020 6:00,0.025252525,42,1.06060605,437.328434,532.9626
6/14/2020 9:00,-0.025100402,94,-2.359437788,293.097935,529.5748667
6/14/2020 12:00,-0.126937984,131,-16.6288759,1673.53803,523.6633333
6/14/2020 15:00,0.002314815,187,0.432870405,1248.652376,509.3753
6/14/2020 18:00,-0.017514124,159,-2.784745716,528.159026,508.2835667
6/14/2020 21:00,-0.082279366,747,-61.4626864,2919.39707,507.8430333
6/15/2020 0:00,-0.011931818,186,-2.219318148,1700.696724,503.4735333
6/15/2020 3:00,-0.069105691,110,-7.60162601,3742.596177,476.6795
6/15/2020 6:00,-0.046783626,54,-2.526315804,2586.242918,457.1476333
6/15/2020 9:00,-0.098654244,116,-11.4438923,1024.541136,474.4665667
6/15/2020 12:00,-0.067708333,226,-15.30208326,1328.225178,481.3072
6/15/2020 15:00,-0.005,287,-1.435,3213.728686,493.2963
6/15/2020 18:00,0.067970205,323,21.95437622,5712.085529,529.5903333
6/15/2020 21:00,-0.063471916,507,-32.18026141,3059.683473,528.1113667
6/16/2020 0:00,0.002477291,155,0.383980105,1884.458593,544.92
6/16/2020 3:00,-0.02394636,93,-2.22701148,2263.212081,544.6169667
6/16/2020 6:00,-0.048467433,62,-3.004980846,1676.545537,550.2079333
