time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume BTC,open BTC
2019-01-01 00:00:00,-0.051088482,961,-49.096031202,1738.3306999800002,3686.806666666667
2019-01-01 03:00:00,-0.076208882,2360,-179.85296152,1193.4236875299998,3678.9466666666663
2019-01-01 06:00:00,-0.104298054,2712,-282.856322448,1000.98553392,3694.4166666666665
2019-01-01 09:00:00,-0.072183213,2863,-206.660538819,324.4676051,3704.44
2019-01-01 12:00:00,-0.097971815,3181,-311.648343515,991.11589797,3712.18
2019-01-01 15:00:00,-0.103123195,3390,-349.58763105,1530.98131345,3689.8233333333337
2019-01-01 18:00:00,-0.101788907,3683,-374.888544481,1479.630496,3684.453333333333
2019-01-01 21:00:00,-0.11155192,3262,-363.88236304,2553.9497543,3722.21
2019-01-02 00:00:00,-0.079667635,3173,-252.785405855,1165.57936847,3807.0
2019-01-02 03:00:00,-0.169698832,2598,-440.877565536,546.10848523,3800.79
2019-01-02 06:00:00,-0.11005235,3473,-382.21181155,872.52869147,3791.006666666666
2019-01-02 09:00:00,-0.100786254,4027,-405.866244858,671.10076329,3799.943333333333
2019-01-02 12:00:00,-0.089819029,4632,-416.041742328,1164.01515861,3821.706666666667
2019-01-02 15:00:00,-0.11215449,5089,-570.75419961,2116.06315742,3832.07
2019-01-02 18:00:00,-0.156644181,4563,-714.767397903,1405.96659218,3848.723333333333
2019-01-02 21:00:00,-0.098675115,4469,-440.979088935,2041.1086291,3885.146666666666
2019-01-03 00:00:00,-0.115470299,3585,-413.961021915,2190.33760809,3873.88
2019-01-03 03:00:00,-0.103405755,3255,-336.585732525,845.9556912,3867.35
2019-01-03 06:00:00,-0.048703682,3900,-189.9443598,399.47436952,3847.4466666666663
2019-01-03 09:00:00,-0.010821655,4544,-49.17360032,510.49040926,3833.703333333333
2019-01-03 12:00:00,0.00082628,5430,4.4867004,794.67014317,3843.68
2019-01-03 15:00:00,-0.025854959,6059,-156.655196581,2526.43313733,3815.83
2019-01-03 18:00:00,-0.125574838,5754,-722.557617852,1175.41104219,3779.866666666667
2019-01-03 21:00:00,-0.075377171,4614,-347.79026699400004,884.8746881899999,3796.6666666666665
2019-01-04 00:00:00,-0.06182907,3683,-227.71646481,1076.07540242,3778.48
2019-01-04 03:00:00,-0.101361861,3243,-328.716515223,968.80184013,3791.0733333333337
2019-01-04 06:00:00,-0.114637435,3495,-400.657835325,986.45106909,3801.263333333333
2019-01-04 09:00:00,-0.147439428,3623,-534.173047644,444.4829571,3789.476666666667
2019-01-04 12:00:00,-0.150586291,4368,-657.760919088,1149.78979849,3779.8366666666666
2019-01-04 15:00:00,-0.158566256,5291,-838.974060496,1036.70266391,3756.1666666666665
2019-01-04 18:00:00,-0.111569442,4629,-516.454947018,2019.97949793,3762.396666666667
2019-01-04 21:00:00,-0.110829809,4161,-461.162835249,1542.86727133,3815.063333333333
2019-01-05 00:00:00,-0.105646701,3393,-358.459256493,1213.07332451,3837.023333333333
2019-01-05 03:00:00,-0.163479473,2741,-448.097235493,594.68081035,3844.13
2019-01-05 06:00:00,-0.162994985,2991,-487.518000135,444.31912860000006,3838.1966666666663
2019-01-05 09:00:00,-0.095735041,3236,-309.798592676,315.26221031,3829.47
2019-01-05 12:00:00,-0.10647014,3687,-392.55540618,394.53766876,3834.553333333333
2019-01-05 15:00:00,-0.104451482,4370,-456.45297634,1187.66940158,3831.013333333334
2019-01-05 18:00:00,-0.12272899,3861,-473.85663039,1065.37024209,3841.316666666667
2019-01-05 21:00:00,-0.101250504,3396,-343.846711584,1236.09496381,3827.3366666666666
2019-01-06 00:00:00,-0.08751626,3130,-273.9258938,921.80825854,3798.346666666667
2019-01-06 03:00:00,-0.088628627,2732,-242.133408964,463.15933369,3795.41
2019-01-06 06:00:00,-0.068589452,2953,-202.544651756,293.71954392,3795.67
2019-01-06 09:00:00,-0.119906421,3060,-366.91364826,440.96470867,3804.986666666667
2019-01-06 12:00:00,-0.081652606,3479,-284.069416274,422.43238398,3818.9833333333336
2019-01-06 15:00:00,-0.091170636,4706,-429.049013016,3690.66112761,3826.5466666666666
2019-01-06 18:00:00,-0.10702288,4477,-479.14143376,2209.81649658,4054.036666666667
2019-01-06 21:00:00,-0.086869896,3789,-329.150035944,1614.89182019,4031.41
2019-01-07 00:00:00,-0.099421644,3822,-379.989523368,1399.4223052,4042.7333333333336
2019-01-07 03:00:00,-0.037821428,3101,-117.284248228,598.85933229,4032.843333333333
2019-01-07 06:00:00,-0.070956984,3304,-234.441875136,448.75214536,4036.72
2019-01-07 09:00:00,-0.135447336,4287,-580.662729432,1907.13186323,4017.226666666667
