time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume DASH,open DASH
2019-09-17 15:00:00,-0.153388,5933,-910.051004,2893.866,98.0
2019-09-17 18:00:00,-0.134465616,5165,-694.51490664,1359.457,95.95300000000002
2019-09-17 21:00:00,-0.118586768,4251,-504.112350768,292.63800000000003,96.16833333333334
2019-09-18 00:00:00,-0.137030109,3738,-512.218547442,385.922,94.702
2019-09-18 03:00:00,-0.165295901,3374,-557.708369974,170.08,95.405
2019-09-18 06:00:00,-0.128787985,4249,-547.2201482649999,300.662,96.098
2019-09-18 09:00:00,-0.190933286,4577,-873.901650022,204.449,95.40533333333332
2019-09-18 12:00:00,-0.164979188,5566,-918.274160408,360.39,95.40133333333334
2019-09-18 15:00:00,-0.16431832,5595,-919.3610004,600.227,96.75833333333334
2019-09-18 18:00:00,-0.156013032,5097,-795.198424104,521.23182682,97.02233333333334
2019-09-18 21:00:00,-0.16106318,4127,-664.70774386,2072.34365257,97.57033333333334
2019-09-19 00:00:00,-0.189513645,3690,-699.30535005,3839.67375311,96.964
2019-09-19 03:00:00,-0.174265505,3995,-696.190692475,1589.41497429,91.76266666666668
2019-09-19 06:00:00,-0.142999617,4063,-581.007443871,102.8839972,92.08133333333332
2019-09-19 09:00:00,-0.15925394,4374,-696.5767335600001,461.12819484,92.88233333333334
2019-09-19 12:00:00,-0.127243037,5523,-702.763293351,422.61156542,96.619
2019-09-19 15:00:00,-0.113378719,6249,-708.503615031,3383.9693141400003,100.09866666666666
2019-09-19 18:00:00,-0.137997379,5780,-797.6248506200001,5360.39276782,100.54766666666669
2019-09-19 21:00:00,-0.111952405,4333,-485.0897708650001,2239.40233575,99.14566666666668
2019-09-20 00:00:00,-0.107994161,3643,-393.4227285230001,1009.77479509,99.20600000000002
2019-09-20 03:00:00,-0.133258822,3239,-431.625324458,757.15776871,98.93966666666668
2019-09-20 06:00:00,-0.15576754,3689,-574.62645506,778.75726414,97.59233333333331
2019-09-20 09:00:00,-0.138783395,4069,-564.709634255,371.45092288,97.50133333333332
2019-09-20 12:00:00,-0.204726889,5277,-1080.343793253,663.5151168900001,97.58833333333332
2019-09-20 15:00:00,-0.180638988,5350,-966.4185858,1083.62239631,96.82566666666666
2019-09-20 18:00:00,-0.153775622,4711,-724.436955242,469.02978229000007,95.85733333333332
2019-09-20 21:00:00,-0.144025363,3680,-530.01333584,615.82395465,96.13833333333334
2019-09-21 00:00:00,-0.164414578,3083,-506.890143974,1189.03300887,96.57966666666664
2019-09-21 03:00:00,-0.185053957,2743,-507.603004051,210.11522981,95.602
2019-09-21 06:00:00,-0.175044975,3015,-527.7605996249999,132.023,95.75
2019-09-21 09:00:00,-0.158298661,3266,-517.003426826,151.05188927,95.09033333333332
2019-09-21 12:00:00,-0.212905711,3945,-839.913029895,262.11212017,94.51266666666668
2019-09-21 15:00:00,-0.169662311,4141,-702.571629851,360.24371781,94.29333333333334
2019-09-21 18:00:00,-0.169298512,3629,-614.384300048,543.98066043,93.47533333333332
2019-09-21 21:00:00,-0.192786533,3006,-579.516318198,347.706,93.13633333333333
2019-09-22 00:00:00,-0.210598503,3064,-645.2738131919999,585.15691481,92.28133333333334
2019-09-22 03:00:00,-0.246939638,2471,-610.187845498,124.35201807,92.376
2019-09-22 06:00:00,-0.235816939,3029,-714.289508231,82.37082090999999,92.72433333333332
2019-09-22 09:00:00,-0.165952417,3083,-511.631301611,75.70826247,93.319
2019-09-22 12:00:00,-0.184332168,3645,-671.89075236,156.39888238999998,92.93866666666668
2019-09-22 15:00:00,-0.149083936,4074,-607.367955264,276.83254888,92.232
2019-09-22 18:00:00,-0.162592639,3750,-609.7223962500001,997.50597549,91.25366666666667
2019-09-22 21:00:00,-0.169796624,3388,-575.270962112,280.53666685,90.87066666666664
2019-09-23 00:00:00,-0.176723037,3534,-624.539212758,854.30166058,90.37133333333334
2019-09-23 03:00:00,-0.198290211,3240,-642.46028364,113.70856159,89.57066666666667
2019-09-23 06:00:00,-0.155489325,3894,-605.47543155,464.77755648,88.97066666666666
2019-09-23 09:00:00,-0.193719679,4490,-869.80135871,227.633,89.71366666666667
2019-09-23 12:00:00,-0.173678899,5365,-931.787293135,271.72744307,89.774
2019-09-23 15:00:00,-0.149631246,5273,-789.005560158,271.924,90.24
2019-09-23 18:00:00,-0.160137419,4810,-770.26098539,405.78154801,89.03133333333335
2019-09-23 21:00:00,-0.155633622,4326,-673.271048772,407.6868515,88.10266666666666
2019-09-24 00:00:00,-0.168540146,3595,-605.90182487,287.60937020999995,87.42166666666667
2019-09-24 03:00:00,-0.181445797,3224,-584.9812495279999,174.87863779,87.599
2019-09-24 06:00:00,-0.165133909,3925,-648.150592825,71.84513733,87.72633333333333
2019-09-24 09:00:00,-0.203037402,4131,-838.747507662,166.59311585999998,87.61666666666667
2019-09-24 12:00:00,-0.145543518,5395,-785.20727961,973.73244669,86.915
2019-09-24 15:00:00,-0.13505727,5744,-775.76895888,536.5169421,83.97533333333332
2019-09-24 18:00:00,-0.13023565,9940,-1294.542361,3750.82939168,79.42666666666666
2019-09-24 21:00:00,-0.177539077,5681,-1008.599496437,3098.2486616700003,74.77033333333334
2019-09-25 00:00:00,-0.173752508,4347,-755.302152276,787.7779234,74.78766666666667
2019-09-25 03:00:00,-0.132173406,3870,-511.51108122,1098.3883243,73.457
2019-09-25 06:00:00,-0.139624757,4269,-596.0580876329999,2057.4639023,73.59866666666666
2019-09-25 09:00:00,-0.231335044,4893,-1131.922370292,578.12478316,71.021
2019-09-25 12:00:00,-0.16914444,5844,-988.48010736,586.94332659,70.51733333333334
2019-09-25 15:00:00,-0.129405729,5722,-740.459581338,744.5336529199999,71.47033333333333
2019-09-25 18:00:00,-0.185459995,5047,-936.016594765,1358.3716595299998,71.108
2019-09-25 21:00:00,-0.191985727,4188,-804.036224676,752.8739699999999,72.87733333333334
2019-09-26 00:00:00,-0.206079558,3352,-690.7786784159999,576.47353443,72.51566666666666
2019-09-26 03:00:00,-0.202662919,3066,-621.364509654,192.78938531,71.911
2019-09-26 06:00:00,-0.179905451,3770,-678.24355027,588.90679662,72.586
2019-09-26 09:00:00,-0.214089424,4290,-918.44362896,614.52004978,72.93933333333334
2019-09-26 12:00:00,-0.142045556,5240,-744.3187134399999,472.30047272,72.286
2019-09-26 15:00:00,-0.081537364,6744,-549.887982816,1659.8046292499998,68.26066666666667
2019-09-26 18:00:00,-0.141469913,5233,-740.312054729,657.8376472699999,68.788
2019-09-26 21:00:00,-0.148575268,4053,-602.175561204,411.94772567,69.00533333333334
2019-09-27 00:00:00,-0.159989238,3570,-571.16157966,495.86268769,68.28533333333333
2019-09-27 03:00:00,-0.152458058,3245,-494.72639821,147.43242156,68.42833333333334
2019-09-27 06:00:00,-0.149797099,4015,-601.435352485,320.34723080000003,68.391
2019-09-27 09:00:00,-0.167384065,4368,-731.13359592,311.23182984000005,68.64933333333333
2019-09-27 12:00:00,-0.18909149,5440,-1028.6577056,423.33009599,68.15333333333334
2019-09-27 15:00:00,-0.166984642,5264,-879.007155488,361.01436466,68.56400000000001
2019-09-27 18:00:00,-0.193777135,4641,-899.319683535,1519.6217979,70.17200000000001
2019-09-27 21:00:00,-0.176576095,4188,-739.50068586,970.00887397,71.63533333333334
2019-09-28 00:00:00,-0.187638669,3147,-590.498891343,393.87829378,71.57533333333333
2019-09-28 03:00:00,-0.197171851,2863,-564.503009413,166.17710800999998,71.32233333333333
2019-09-28 06:00:00,-0.164517037,3295,-542.083636915,598.49946581,71.57833333333333
2019-09-28 09:00:00,-0.215235413,3143,-676.484903059,81.18849779,71.832
2019-09-28 12:00:00,-0.173255343,3962,-686.437668966,259.01163517,71.069
2019-09-28 15:00:00,-0.178286929,4234,-754.866857386,487.36158448,70.87966666666667
2019-09-28 18:00:00,-0.152472097,3545,-540.513583865,326.43852816000003,71.44533333333334
2019-09-28 21:00:00,-0.224403098,3439,-771.722254022,173.69714586,71.85166666666667
2019-09-29 00:00:00,-0.175061529,2879,-504.002141991,382.13224861,71.29433333333333
2019-09-29 03:00:00,-0.184088725,2621,-482.496548225,136.01995503,70.56266666666667
2019-09-29 06:00:00,-0.167329204,2769,-463.334565876,1444.03528253,69.80966666666666
2019-09-29 09:00:00,-0.152786838,3037,-464.013627006,260.684,69.41199999999999
2019-09-29 12:00:00,-0.157841234,3919,-618.579796046,531.5808153400001,68.76266666666668
2019-09-29 15:00:00,-0.152506719,4149,-632.750377131,700.77378385,68.45433333333334
2019-09-29 18:00:00,-0.191058052,3930,-750.85814436,246.72,68.333
2019-09-29 21:00:00,-0.218383402,3324,-725.906428248,175.61490654,68.63133333333333
2019-09-30 00:00:00,-0.220482669,3116,-687.023996604,238.7168106,69.11866666666667
2019-09-30 03:00:00,-0.18850969,3242,-611.14841498,525.15193899,68.49066666666666
2019-09-30 06:00:00,-0.103414752,3886,-401.869726272,166.05209525,66.94766666666666
2019-09-30 09:00:00,-0.154817114,4346,-672.835177444,154.91444419,68.67066666666666
2019-09-30 12:00:00,-0.182904888,5228,-956.226754464,558.506,69.71733333333333
2019-09-30 15:00:00,-0.178447529,5442,-971.111452818,528.28281716,71.8
2019-09-30 18:00:00,-0.153834571,4631,-712.407898301,472.17877158,70.71366666666667
2019-09-30 21:00:00,-0.181528398,4091,-742.632676218,252.3668243,70.34133333333334
2019-10-01 00:00:00,-0.236858471,3597,-851.979920187,639.06902535,70.97366666666667
2019-10-01 03:00:00,-0.195507335,3357,-656.318123595,680.76134645,72.37666666666667
2019-10-01 06:00:00,-0.227844164,3733,-850.542264212,230.10536518,71.43833333333333
2019-10-01 09:00:00,-0.206274527,4266,-879.967132182,574.067,71.24766666666666
2019-10-01 12:00:00,-0.196803061,5547,-1091.666579367,371.30819527,71.29733333333333
2019-10-01 15:00:00,-0.184155108,5237,-964.420300596,583.34732576,70.93466666666667
2019-10-01 18:00:00,-0.199214507,4395,-875.5477582650001,207.92837896,69.997
2019-10-01 21:00:00,-0.155489831,3969,-617.139139239,384.50760887,70.25366666666666
2019-10-02 00:00:00,-0.15958248,3125,-498.69525,230.23995267,70.37566666666666
2019-10-02 03:00:00,-0.223681611,2915,-652.031896065,122.564,70.01566666666666
2019-10-02 06:00:00,-0.17528244,2671,-468.17939724,91.897,69.81533333333333
