time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume BCH,open BCH
2019-01-01 00:00:00,-0.051088482,961,-49.096031202,7476.85759148,149.6966666666667
2019-01-01 03:00:00,-0.076208882,2360,-179.85296152,12789.82893417,156.73
2019-01-01 06:00:00,-0.104298054,2712,-282.856322448,4708.55391434,159.76333333333332
2019-01-01 09:00:00,-0.072183213,2863,-206.660538819,1581.6546285800002,159.97666666666666
2019-01-01 12:00:00,-0.097971815,3181,-311.648343515,2311.4526020900003,159.01666666666668
2019-01-01 15:00:00,-0.103123195,3390,-349.58763105,2280.82519429,156.97333333333333
2019-01-01 18:00:00,-0.101788907,3683,-374.888544481,6939.82556115,157.16666666666666
2019-01-01 21:00:00,-0.11155192,3262,-363.88236304,6423.58122689,160.53
2019-01-02 00:00:00,-0.079667635,3173,-252.785405855,5288.55623626,162.72333333333333
2019-01-02 03:00:00,-0.169698832,2598,-440.877565536,2274.9984094,162.18333333333334
2019-01-02 06:00:00,-0.11005235,3473,-382.21181155,2577.0768000300004,160.89333333333337
2019-01-02 09:00:00,-0.100786254,4027,-405.866244858,2629.1919281,162.27666666666664
2019-01-02 12:00:00,-0.089819029,4632,-416.041742328,6152.1244725,164.01333333333335
2019-01-02 15:00:00,-0.11215449,5089,-570.75419961,9375.68496001,163.63333333333335
2019-01-02 18:00:00,-0.156644181,4563,-714.767397903,4145.414267730001,164.16
2019-01-02 21:00:00,-0.098675115,4469,-440.979088935,13933.34218439,166.14
2019-01-03 00:00:00,-0.115470299,3585,-413.961021915,11472.53495849,169.64333333333337
2019-01-03 03:00:00,-0.103405755,3255,-336.585732525,4994.574758549999,169.67666666666668
2019-01-03 06:00:00,-0.048703682,3900,-189.9443598,3375.06917187,167.29666666666665
2019-01-03 09:00:00,-0.010821655,4544,-49.17360032,3044.2822359700003,164.01666666666665
2019-01-03 12:00:00,0.00082628,5430,4.4867004,2609.97096137,162.77666666666667
2019-01-03 15:00:00,-0.025854959,6059,-156.655196581,9115.09419632,160.46
2019-01-03 18:00:00,-0.125574838,5754,-722.557617852,2736.49942314,158.74
2019-01-03 21:00:00,-0.075377171,4614,-347.79026699400004,6315.7195395300005,160.75
2019-01-04 00:00:00,-0.06182907,3683,-227.71646481,3766.55284046,159.98333333333332
2019-01-04 03:00:00,-0.101361861,3243,-328.716515223,3837.72328925,160.37
2019-01-04 06:00:00,-0.114637435,3495,-400.657835325,5512.29000645,161.51666666666665
2019-01-04 09:00:00,-0.147439428,3623,-534.173047644,3124.5531594100003,158.51333333333332
2019-01-04 12:00:00,-0.150586291,4368,-657.760919088,8520.835850200001,157.71333333333334
2019-01-04 15:00:00,-0.158566256,5291,-838.974060496,7353.96423789,155.42
2019-01-04 18:00:00,-0.111569442,4629,-516.454947018,3018.08025875,156.35666666666663
2019-01-04 21:00:00,-0.110829809,4161,-461.162835249,5295.40055064,159.40333333333334
2019-01-05 00:00:00,-0.105646701,3393,-358.459256493,5540.13485931,160.02666666666667
2019-01-05 03:00:00,-0.163479473,2741,-448.097235493,2745.21797332,159.56999999999996
2019-01-05 06:00:00,-0.162994985,2991,-487.518000135,3599.8514518600005,158.03666666666666
2019-01-05 09:00:00,-0.095735041,3236,-309.798592676,1021.99341898,157.32666666666665
2019-01-05 12:00:00,-0.10647014,3687,-392.55540618,5260.3421900700005,159.4
2019-01-05 15:00:00,-0.104451482,4370,-456.45297634,5150.149420850001,161.04333333333332
2019-01-05 18:00:00,-0.12272899,3861,-473.85663039,1631.4022542900002,161.1966666666667
2019-01-05 21:00:00,-0.101250504,3396,-343.846711584,2826.25974527,160.42
2019-01-06 00:00:00,-0.08751626,3130,-273.9258938,3567.16399609,158.03
2019-01-06 03:00:00,-0.088628627,2732,-242.133408964,1474.59836305,157.88666666666668
2019-01-06 06:00:00,-0.068589452,2953,-202.544651756,1323.87407926,157.69666666666666
2019-01-06 09:00:00,-0.119906421,3060,-366.91364826,1115.93534133,158.40666666666667
2019-01-06 12:00:00,-0.081652606,3479,-284.069416274,1075.84362255,158.70666666666668
