time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LTC,open LTC
2019-01-01 00:00:00,-0.051088482,961,-49.096031202,30157.74230696,29.73
2019-01-01 03:00:00,-0.076208882,2360,-179.85296152,30230.27205367,29.65
2019-01-01 06:00:00,-0.104298054,2712,-282.856322448,16377.67576962,30.040000000000003
2019-01-01 09:00:00,-0.072183213,2863,-206.660538819,3847.55270779,30.376666666666665
2019-01-01 12:00:00,-0.097971815,3181,-311.648343515,8238.07652038,30.516666666666666
2019-01-01 15:00:00,-0.103123195,3390,-349.58763105,12262.75608832,30.22666666666667
2019-01-01 18:00:00,-0.101788907,3683,-374.888544481,30657.62217687,30.226666666666663
2019-01-01 21:00:00,-0.11155192,3262,-363.88236304,32069.48422182,31.236666666666668
2019-01-02 00:00:00,-0.079667635,3173,-252.785405855,12529.4431644,31.62333333333333
2019-01-02 03:00:00,-0.169698832,2598,-440.877565536,11173.80500874,31.55666666666667
2019-01-02 06:00:00,-0.11005235,3473,-382.21181155,12446.16546896,31.55666666666667
2019-01-02 09:00:00,-0.100786254,4027,-405.866244858,11609.685062330002,32.050000000000004
2019-01-02 12:00:00,-0.089819029,4632,-416.041742328,18567.16947628,32.330000000000005
2019-01-02 15:00:00,-0.11215449,5089,-570.75419961,26794.24027373,32.32
2019-01-02 18:00:00,-0.156644181,4563,-714.767397903,15627.73084406,32.593333333333334
2019-01-02 21:00:00,-0.098675115,4469,-440.979088935,40608.45403181,33.046666666666674
2019-01-03 00:00:00,-0.115470299,3585,-413.961021915,20348.58111519,32.81
2019-01-03 03:00:00,-0.103405755,3255,-336.585732525,13699.24987975,32.733333333333334
2019-01-03 06:00:00,-0.048703682,3900,-189.9443598,6408.3527223,32.6
2019-01-03 09:00:00,-0.010821655,4544,-49.17360032,11344.79933425,32.196666666666665
2019-01-03 12:00:00,0.00082628,5430,4.4867004,12367.83883759,31.9
2019-01-03 15:00:00,-0.025854959,6059,-156.655196581,29090.07185506,31.59
2019-01-03 18:00:00,-0.125574838,5754,-722.557617852,13081.63519813,31.203333333333333
2019-01-03 21:00:00,-0.075377171,4614,-347.79026699400004,10045.53108441,31.53333333333333
