time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume OMG,open OMG
2020-05-19 15:00:00,-0.04188614,260,-10.8903964,1096283.6,1.1506
2020-05-19 18:00:00,-0.078796296,250,-19.699074,1499398.2,1.1565666666666667
2020-05-19 21:00:00,-0.05479331,332,-18.19137892,1087004.8,1.1603333333333332
2020-05-20 00:00:00,-0.017745098,139,-2.466568622,1243064.8,1.1794666666666669
2020-05-20 03:00:00,-0.111742424,120,-13.40909088,869800.8,1.1771
2020-05-20 06:00:00,-0.018398268,54,-0.993506472,310244.9,1.1637333333333333
2020-05-20 09:00:00,0.025793651,95,2.450396845,219860.7,1.1555666666666669
2020-05-20 12:00:00,-0.012698413,244,-3.098412772,928402.9,1.1713333333333331
2020-05-20 15:00:00,-0.064537037,316,-20.393703692000003,1272984.9,1.1485
2020-05-20 18:00:00,0.015436508,305,4.70813494,368109.0,1.168033333333333
2020-05-20 21:00:00,-0.049581797,1531,-75.909731207,180378.8,1.171533333333333
2020-05-21 00:00:00,-0.135480573,100,-13.5480573,180321.2,1.1612333333333331
2020-05-21 03:00:00,-0.027710843,67,-1.856626481,459250.5,1.1589
2020-05-21 06:00:00,-0.156289308,91,-14.222327028,564873.5,1.1803333333333337
2020-05-21 09:00:00,-0.09047619,110,-9.9523809,1049916.1,1.2243333333333333
2020-05-21 12:00:00,-0.013035382,167,-2.176908794,3643972.9,1.3020666666666667
2020-05-21 15:00:00,-0.064948593,224,-14.548484832,5117257.0,1.3115333333333332
2020-05-21 18:00:00,-0.010922787,207,-2.261016909,6284310.8,1.4954999999999998
2020-05-21 21:00:00,-0.027337175,312,-8.529198599999999,2619904.0,1.5066999999999997
2020-05-22 00:00:00,0.001937985,80,0.1550388,1860786.8,1.5387666666666666
2020-05-22 03:00:00,0.056547619,123,6.955357137,3381780.8,1.542266666666667
2020-05-22 06:00:00,0.009689922,98,0.949612356,15439764.9,1.9536
2020-05-22 09:00:00,-0.081761006,81,-6.622641486,3952652.5,1.8505333333333336
2020-05-22 12:00:00,0.019491525,245,4.775423625,5048320.0,1.7229
2020-05-22 15:00:00,0.055243446,239,13.203183594,10249415.2,1.909333333333333
2020-05-22 18:00:00,-0.038955026,247,-9.621891422,1761218.4,1.8994333333333333
2020-05-22 21:00:00,-0.046544002,1524,-70.933059048,1481680.9,1.8211
2020-05-23 00:00:00,0.077071291,121,9.325626211,5572029.7,1.903333333333333
2020-05-23 03:00:00,-0.027950311,66,-1.844720526,1693291.2000000002,1.9882333333333333
