time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XTZ,open XTZ
2019-08-06 15:00:00,-0.062937063,47,-2.958041961,980934.3,1.7846
2019-08-06 18:00:00,-0.094017094,60,-5.64102564,683147.44,1.5167333333333337
2019-08-06 21:00:00,-0.036144578,36,-1.3012048079999998,579225.96,1.4680666666666669
2019-08-07 00:00:00,-0.068322981,41,-2.8012422210000003,81434.09000000001,1.4769
2019-08-07 03:00:00,0.007092199,21,0.148936179,88017.45,1.4694
2019-08-07 06:00:00,0.0,30,0.0,23469.000000000004,1.4679666666666666
2019-08-07 09:00:00,-0.016129032,10,-0.16129032,41355.9,1.4521666666666668
2019-08-07 12:00:00,-0.058823529,58,-3.411764682,157762.93,1.406633333333333
2019-08-07 15:00:00,0.045731707,78,3.567073146,135213.77000000002,1.3993666666666666
2019-08-07 18:00:00,0.028846154,50,1.4423077,170879.02999999997,1.3679333333333332
2019-08-07 21:00:00,0.054263566,55,2.98449613,136742.56,1.3541333333333334
2019-08-08 00:00:00,-0.013292434,48,-0.638036832,149056.5,1.3448
2019-08-08 03:00:00,0.00877193,15,0.13157895,235030.28,1.3968999999999998
2019-08-08 06:00:00,-0.017699115,13,-0.230088495,83539.18000000001,1.4088666666666667
2019-08-08 09:00:00,-0.003424658,22,-0.075342476,33729.29,1.4048666666666667
2019-08-08 12:00:00,-0.042682927,45,-1.920731715,33048.31,1.3558333333333332
2019-08-08 15:00:00,0.031847134,31,0.987261154,403048.32,1.3682333333333334
2019-08-08 18:00:00,0.012903226,44,0.567741944,6006443.65,1.5500999999999998
2019-08-08 21:00:00,0.018962076,41,0.7774451160000001,1515935.67,1.5345333333333333
2019-08-09 00:00:00,-0.003496503,41,-0.143356623,991140.36,1.5557333333333334
2019-08-09 03:00:00,-0.02027027,29,-0.58783783,599409.28,1.5074666666666665
2019-08-09 06:00:00,0.048611111,25,1.215277775,174383.81,1.4924666666666668
2019-08-09 09:00:00,-0.045774648,32,-1.464788736,333616.23,1.4259666666666666
2019-08-09 12:00:00,-0.032654127,76,-2.481713652,888566.13,1.4265666666666668
2019-08-09 15:00:00,-0.003378378,50,-0.1689189,572164.79,1.413
2019-08-09 18:00:00,-0.045454545,44,-1.99999998,442290.0,1.4184333333333334
2019-08-09 21:00:00,-0.072413793,37,-2.6793103410000003,327196.5,1.4474333333333331
2019-08-10 00:00:00,-0.00462963,32,-0.14814816,579796.0900000001,1.4240000000000002
2019-08-10 03:00:00,0.0,10,0.0,159418.36,1.4159666666666668
2019-08-10 06:00:00,-0.035087719,18,-0.6315789420000001,124891.1,1.4007333333333332
2019-08-10 09:00:00,-0.025641026,16,-0.410256416,105439.8,1.3985333333333332
2019-08-10 12:00:00,-0.009803922,39,-0.3823529579999999,185023.38,1.3760666666666663
2019-08-10 15:00:00,-0.032485876,41,-1.3319209159999998,345608.27,1.369
2019-08-10 18:00:00,0.0,45,0.0,192596.82,1.3661
2019-08-10 21:00:00,-0.036363636,19,-0.690909084,137239.63,1.3692333333333335
2019-08-11 00:00:00,-0.017197452,23,-0.395541396,226087.34,1.3837
2019-08-11 03:00:00,-0.15,6,-0.8999999999999999,106194.59,1.3741
2019-08-11 06:00:00,0.012734082,38,0.483895116,30641.26,1.3791
2019-08-11 09:00:00,0.034482759,11,0.379310349,52891.560000000005,1.3849
2019-08-11 12:00:00,-0.015151515,12,-0.18181818,97512.84,1.4001
2019-08-11 15:00:00,0.010204082,25,0.2551020499999999,164029.34,1.3948666666666665
2019-08-11 18:00:00,-0.013245033,26,-0.344370858,83708.45,1.3897666666666666
2019-08-11 21:00:00,0.015151515,22,0.33333333,208177.49,1.3854333333333333
2019-08-12 00:00:00,0.023809524,20,0.4761904799999999,182689.37,1.3766
2019-08-12 03:00:00,-0.065789474,15,-0.98684211,84938.65999999999,1.3811
2019-08-12 06:00:00,-0.078431373,10,-0.78431373,93067.85,1.3716666666666668
2019-08-12 09:00:00,0.041666667,7,0.291666669,30916.5,1.3721666666666668
2019-08-12 12:00:00,-0.048192771,38,-1.831325298,68004.42,1.3628666666666664
2019-08-12 15:00:00,-0.024113475,25,-0.6028368749999999,74997.95999999999,1.3622
2019-08-12 18:00:00,-0.014814815,33,-0.488888895,82664.18,1.3654
2019-08-12 21:00:00,-0.003311258,26,-0.086092708,65980.68000000001,1.3632
2019-08-13 00:00:00,-0.030769231,17,-0.523076927,89596.89,1.3653666666666666
2019-08-13 03:00:00,-0.008196721,12,-0.098360652,122771.59,1.3601333333333334
2019-08-13 06:00:00,-0.019607843,13,-0.254901959,60822.880000000005,1.3564333333333334
2019-08-13 09:00:00,-0.008333333,17,-0.141666661,79206.31999999999,1.3477666666666668
2019-08-13 12:00:00,-0.04375,36,-1.575,353817.95,1.3311
2019-08-13 15:00:00,-0.055555556,46,-2.555555576,237698.42,1.2931666666666668
2019-08-13 18:00:00,-0.012195122,52,-0.6341463439999999,224052.59,1.2839
2019-08-13 21:00:00,0.0375,49,1.8375,258658.08,1.2687333333333333
2019-08-14 00:00:00,-0.007462687,36,-0.268656732,265532.98,1.2427666666666666
2019-08-14 03:00:00,0.030769231,15,0.461538465,170320.45,1.266066666666667
2019-08-14 06:00:00,0.06122449,7,0.42857143,49181.21000000001,1.2638666666666667
2019-08-14 09:00:00,0.017730496,22,0.390070912,132735.2,1.2361666666666666
2019-08-14 12:00:00,-0.019480519,35,-0.681818165,203995.67,1.2286666666666666
2019-08-14 15:00:00,-0.103485839,53,-5.484749466999999,710071.4099999999,1.203566666666667
2019-08-14 18:00:00,-0.031288344,54,-1.6895705760000002,212364.9,1.1544
2019-08-14 21:00:00,-0.042613636,34,-1.448863624,164991.27000000002,1.1633
2019-08-15 00:00:00,0.06,22,1.3199999999999998,105999.41,1.1447666666666667
2019-08-15 03:00:00,-0.022151899,20,-0.44303798,497679.55,1.0984999999999998
2019-08-15 06:00:00,-0.035714286,22,-0.785714292,399779.72,1.1117333333333332
2019-08-15 09:00:00,-0.008333333,14,-0.116666662,64531.880000000005,1.1287666666666665
2019-08-15 12:00:00,0.0,39,0.0,116060.72,1.1349
2019-08-15 15:00:00,-0.01497006,55,-0.8233533000000001,286884.23,1.1225666666666667
2019-08-15 18:00:00,-0.037878788,24,-0.909090912,226244.97,1.117
2019-08-15 21:00:00,-0.026190476,23,-0.602380948,621319.9400000001,1.2283
2019-08-16 00:00:00,0.017777778,35,0.62222223,180064.47999999998,1.1994
2019-08-16 03:00:00,-0.02,10,-0.2,228844.71,1.1709333333333334
