time,sentiment_score,tweet volume,Weighted Sentiment,Volume ETC,open ETC
2021-06-01 00:00:00,0.03234467843610995,23568,762.2993813822393,122259.04776963999,70.03699999999999
2021-06-01 03:00:00,0.03915905956052937,19750,773.391426320455,42169.38882636,68.44433333333335
2021-06-01 06:00:00,0.020239276561083146,23477,475.157495824549,52018.30031869,69.175
2021-06-01 09:00:00,0.006470430079751599,24964,161.5278165109189,30523.82983016,67.18833333333333
2021-06-01 12:00:00,0.0854241677689737,36552,3122.4241802915267,71913.63352501,67.206
2021-06-01 15:00:00,0.050746999407550106,40993,2080.2717467137013,37843.71166485,66.65733333333333
2021-06-01 18:00:00,0.06559790290045056,33467,2195.3650163693787,40332.61690253,66.56266666666667
2021-06-01 21:00:00,-0.03984656694525473,23715,-944.9613351067159,30558.18146218,67.27999999999999
2021-06-02 00:00:00,0.013595492764292076,20898,284.11860778817584,43234.267607140006,67.07366666666665
2021-06-02 03:00:00,0.03903823874147935,19846,774.7528860633993,26218.907621389997,67.02266666666667
2021-06-02 06:00:00,0.015497104041803635,26953,417.6934452387334,30175.545665309997,67.72666666666667
2021-06-02 09:00:00,0.0553036447180218,30576,1690.9642408982345,28551.72756393,68.35133333333334
2021-06-02 12:00:00,0.09392973416942847,41862,3932.086531800615,59283.78256969,68.20466666666667
2021-06-02 15:00:00,0.03835321946578979,40080,1537.1970361888548,60504.348696320005,69.04166666666667
2021-06-02 18:00:00,-0.02974802744234932,30541,-908.5345061167906,43029.40513226,68.69633333333333
2021-06-02 21:00:00,-0.05682847943417437,24168,-1373.4306909651261,31161.145508860005,68.38733333333334
2021-06-03 00:00:00,0.03758038118370825,21363,802.8296832275594,33320.03474468,67.81333333333333
2021-06-03 03:00:00,-0.005126917625830216,19439,-99.66215172851356,37914.56161731,68.276
2021-06-03 06:00:00,-0.017329473584347697,23761,-411.7656218376856,32591.95063113,69.51166666666667
2021-06-03 09:00:00,-0.04635340142330052,27647,-1281.5324891499895,64170.0940236,70.43900000000001
2021-06-03 12:00:00,-0.008175939596924503,33475,-273.6895780070477,73865.47806065,69.41866666666667
2021-06-03 15:00:00,0.0007969095985832,34317,27.347546694579673,53093.7569511,68.826
2021-06-03 18:00:00,-0.03433204605091571,29155,-1000.9508026144474,52439.33737825,68.61099999999999
2021-06-03 21:00:00,-0.022190629403385745,23302,-517.0860463576946,44657.02282359,69.09266666666666
2021-06-04 00:00:00,0.015807762208879996,36009,569.2217093795598,128449.28268957,68.36766666666666
2021-06-04 03:00:00,0.04774875471327038,32337,1544.0514811630242,78617.38009451999,66.687
2021-06-04 06:00:00,-0.014714982857113257,34061,-501.20703109613464,91496.78135447,63.592000000000006
2021-06-04 09:00:00,0.012215307945817587,36893,450.65935604504824,46379.929062719995,63.395
2021-06-04 12:00:00,0.015806580121741624,48048,759.4745616894415,68425.45420894999,63.689
2021-06-04 15:00:00,0.016662252944197296,45316,755.0666544192446,42043.53451837,63.784
2021-06-04 18:00:00,0.005606588165676892,36342,203.75462711702963,40213.659437480004,64.96166666666666
2021-06-04 21:00:00,0.002907889183603872,29779,86.5940319985397,38979.5468328,65.76133333333333
2021-06-05 00:00:00,0.08052197042115114,26599,2141.803891232199,62535.41787646001,66.353
2021-06-05 03:00:00,0.09894486661977724,25290,2502.315676814166,20995.82541825,66.61633333333333
2021-06-05 06:00:00,0.017312554790551583,28654,496.07394496846507,16841.65691496,66.63966666666666
2021-06-05 09:00:00,-0.009153960596281575,32188,-294.6476836731114,56798.67269557,64.89933333333333
2021-06-05 12:00:00,-0.016227839680172038,38570,-625.9077764642354,58896.60869719,63.306999999999995
2021-06-05 15:00:00,-0.022508809515219826,40174,-904.2689134644413,28230.436810889998,63.272333333333336
2021-06-05 18:00:00,-0.049255565239036195,41443,-2041.298390201377,25844.75093032,63.192
2021-06-05 21:00:00,-0.07232575183479648,45985,-3325.8996981231157,42949.31899111,62.53466666666667
2021-06-06 00:00:00,-0.039449913993465056,32022,-1263.265145898738,16982.753271820002,63.327666666666666
2021-06-06 03:00:00,-0.05725167481704903,33161,-1898.5227886081627,13524.97168495,63.84100000000001
2021-06-06 06:00:00,0.005304356308278314,32961,174.8368882771615,11706.17155036,63.821333333333335
2021-06-06 09:00:00,-0.02543186552821271,32795,-834.0380299977359,19058.72126045,63.864666666666665
2021-06-06 12:00:00,-0.03673376410054389,41759,-1533.9652550746123,39113.247929599995,63.57333333333333
2021-06-06 15:00:00,-0.021900451679222128,44309,-970.3871134546532,31309.7556944,64.33200000000001
2021-06-06 18:00:00,-0.07388260423822687,46171,-3411.233720283173,14899.354496799999,63.708000000000006
2021-06-06 21:00:00,-0.038661989759768804,32463,-1255.0841735713748,21244.7413936,64.03533333333333
2021-06-07 00:00:00,0.010833281831757339,26317,285.0994779663579,29467.61255374,64.42766666666667
2021-06-07 03:00:00,0.01631475427069032,26410,430.8726602889314,21065.078962659998,64.49666666666667
2021-06-07 06:00:00,0.08491772614109877,30963,2629.3075545068414,14015.12146907,64.14966666666666
