time,sentiment_score,tweet volume,Weighted Sentiment,Volume ZRX,open ZRX
2021-06-01 00:00:00,0.03234467843610995,23568,762.2993813822393,925771.77054,1.013978
2021-06-01 03:00:00,0.03915905956052937,19750,773.391426320455,770861.8475400001,1.0123039999999999
2021-06-01 06:00:00,0.020239276561083146,23477,475.157495824549,675310.7125899999,1.0399543333333334
2021-06-01 09:00:00,0.006470430079751599,24964,161.5278165109189,732448.5871700001,1.0097776666666667
2021-06-01 12:00:00,0.0854241677689737,36552,3122.4241802915267,807479.30396,1.025217
2021-06-01 15:00:00,0.050746999407550106,40993,2080.2717467137013,420929.43659000006,1.012311
2021-06-01 18:00:00,0.06559790290045056,33467,2195.3650163693787,802070.31966,1.0154036666666666
2021-06-01 21:00:00,-0.03984656694525473,23715,-944.9613351067159,403080.69731,1.0151729999999999
2021-06-02 00:00:00,0.013595492764292076,20898,284.11860778817584,9181349.68993,1.1036736666666667
2021-06-02 03:00:00,0.03903823874147935,19846,774.7528860633993,2254194.67759,1.1460609999999998
2021-06-02 06:00:00,0.015497104041803635,26953,417.6934452387334,999958.12005,1.129467
2021-06-02 09:00:00,0.0553036447180218,30576,1690.9642408982345,1031442.31928,1.1022236666666667
2021-06-02 12:00:00,0.09392973416942847,41862,3932.086531800615,4809971.75773,1.1074516666666667
2021-06-02 15:00:00,0.03835321946578979,40080,1537.1970361888548,3173656.27819,1.164854
2021-06-02 18:00:00,-0.02974802744234932,30541,-908.5345061167906,2039746.66475,1.1586206666666667
2021-06-02 21:00:00,-0.05682847943417437,24168,-1373.4306909651261,1241402.491,1.1420533333333334
2021-06-03 00:00:00,0.03758038118370825,21363,802.8296832275594,1131292.48502,1.1282476666666668
2021-06-03 03:00:00,-0.005126917625830216,19439,-99.66215172851356,1260039.93711,1.1349103333333332
2021-06-03 06:00:00,-0.017329473584347697,23761,-411.7656218376856,904076.38074,1.174984
2021-06-03 09:00:00,-0.04635340142330052,27647,-1281.5324891499895,1014558.3365999999,1.1961463333333333
2021-06-03 12:00:00,-0.008175939596924503,33475,-273.6895780070477,820795.03674,1.1703513333333333
2021-06-03 15:00:00,0.0007969095985832,34317,27.347546694579673,966225.61058,1.162662
2021-06-03 18:00:00,-0.03433204605091571,29155,-1000.9508026144474,1180389.41491,1.1612580000000001
2021-06-03 21:00:00,-0.022190629403385745,23302,-517.0860463576946,1222975.51867,1.1908833333333333
2021-06-04 00:00:00,0.015807762208879996,36009,569.2217093795598,1324411.8066099999,1.160938
2021-06-04 03:00:00,0.04774875471327038,32337,1544.0514811630242,874618.48572,1.120649
2021-06-04 06:00:00,-0.014714982857113257,34061,-501.20703109613464,1301270.4659499999,1.0630119999999998
2021-06-04 09:00:00,0.012215307945817587,36893,450.65935604504824,853968.3322100001,1.0565499999999999
2021-06-04 12:00:00,0.015806580121741624,48048,759.4745616894415,944336.0345899999,1.0685460000000002
2021-06-04 15:00:00,0.016662252944197296,45316,755.0666544192446,532442.00676,1.0881776666666667
2021-06-04 18:00:00,0.005606588165676892,36342,203.75462711702963,514613.93703000003,1.1101643333333333
2021-06-04 21:00:00,0.002907889183603872,29779,86.5940319985397,466874.64513,1.1050113333333336
2021-06-05 00:00:00,0.08052197042115114,26599,2141.803891232199,578129.23779,1.0924786666666666
2021-06-05 03:00:00,0.09894486661977724,25290,2502.315676814166,274906.68463000003,1.116094
2021-06-05 06:00:00,0.017312554790551583,28654,496.07394496846507,291465.8147,1.1183936666666667
2021-06-05 09:00:00,-0.009153960596281575,32188,-294.6476836731114,587018.4326899999,1.0917626666666667
2021-06-05 12:00:00,-0.016227839680172038,38570,-625.9077764642354,709816.66591,1.0510216666666667
2021-06-05 15:00:00,-0.022508809515219826,40174,-904.2689134644413,458998.12546999997,1.0651490000000001
2021-06-05 18:00:00,-0.049255565239036195,41443,-2041.298390201377,536670.77167,1.053256
2021-06-05 21:00:00,-0.07232575183479648,45985,-3325.8996981231157,642943.32479,1.0288343333333334
2021-06-06 00:00:00,-0.039449913993465056,32022,-1263.265145898738,351610.4443,1.0414403333333333
2021-06-06 03:00:00,-0.05725167481704903,33161,-1898.5227886081627,174220.52831000002,1.040997
2021-06-06 06:00:00,0.005304356308278314,32961,174.8368882771615,200285.82655,1.0452283333333334
2021-06-06 09:00:00,-0.02543186552821271,32795,-834.0380299977359,177816.91739000002,1.066682
2021-06-06 12:00:00,-0.03673376410054389,41759,-1533.9652550746123,356311.21575,1.0544306666666667
2021-06-06 15:00:00,-0.021900451679222128,44309,-970.3871134546532,311496.89122,1.070426
2021-06-06 18:00:00,-0.07388260423822687,46171,-3411.233720283173,317189.87984,1.0576453333333333
2021-06-06 21:00:00,-0.038661989759768804,32463,-1255.0841735713748,300514.15838,1.0596560000000002
2021-06-07 00:00:00,0.010833281831757339,26317,285.0994779663579,294792.93322999997,1.06579
2021-06-07 03:00:00,0.01631475427069032,26410,430.8726602889314,245401.12227,1.070609
2021-06-07 06:00:00,0.08491772614109877,30963,2629.3075545068414,148696.88048,1.059818
2021-06-07 09:00:00,0.10008702318429052,34128,3415.769927233467,340691.96872,1.0659863333333333
