time,sentiment_score,tweet volume,Weighted Sentiment,Volume BCH,open BCH
6/1/2021 0:00,0.031427319,23568,740.6790542,16563.53544,706.0466667
6/1/2021 3:00,0.03915906,19750,773.3914263,4980.54787,690.2833333
6/1/2021 6:00,0.020239277,23477,475.1574958,6098.923297,697.84
6/1/2021 9:00,0.00647043,24964,161.5278165,3726.128949,681.1333333
6/1/2021 12:00,0.085424168,36552,3122.42418,6020.730732,686.9733333
6/1/2021 15:00,0.050746999,40993,2080.271747,6307.283022,681.0933333
6/1/2021 18:00,0.065597903,33467,2195.365016,6066.158645,680.4966667
6/1/2021 21:00,-0.039846567,23715,-944.9613351,5486.874441,685.11
6/2/2021 0:00,0.013595493,20898,284.1186078,6594.390241,685.8633333
6/2/2021 3:00,0.039038239,19846,774.7528861,5119.367743,685.25
6/2/2021 6:00,0.015497104,26953,417.6934452,5889.661986,689.1666667
6/2/2021 9:00,0.055303645,30576,1690.964241,3421.081118,698.5133333
6/2/2021 12:00,0.093929734,41862,3932.086532,5866.565946,696.6766667
6/2/2021 15:00,0.038353219,40080,1537.197036,8257.004382,707.0033333
6/2/2021 18:00,-0.029748027,30541,-908.5345061,3156.795998,705.3533333
6/2/2021 21:00,-0.056828479,24168,-1373.430691,3347.124896,698.64
6/3/2021 0:00,0.037580381,21363,802.8296832,4306.534612,694.09
6/3/2021 3:00,-0.005126918,19439,-99.66215173,4693.968496,701.0933333
6/3/2021 6:00,-0.017329474,23761,-411.7656218,4357.928758,716.15
6/3/2021 9:00,-0.046353401,27647,-1281.532489,6605.079051,725.96
6/3/2021 12:00,-0.00817594,33475,-273.689578,6977.844035,718.7066667
6/3/2021 15:00,0.00079691,34317,27.34754669,4450.845619,714.9533333
6/3/2021 18:00,-0.034332046,29155,-1000.950803,4004.789013,711.85
6/3/2021 21:00,-0.022190629,23302,-517.0860464,5457.746264,712.9466667
6/4/2021 0:00,0.015807762,36009,569.2217094,9974.353161,705.6366667
6/4/2021 3:00,0.047748755,32337,1544.051481,6477.248544,686.46
6/4/2021 6:00,-0.014714983,34061,-501.2070311,6640.677092,662.5733333
6/4/2021 9:00,0.012215308,36893,450.659356,3923.135317,661.4466667
6/4/2021 12:00,0.01580658,48048,759.4745617,7172.425188,664.44
6/4/2021 15:00,0.016662253,45316,755.0666544,3671.458668,665.8133333
6/4/2021 18:00,0.005606588,36342,203.7546271,4529.973324,671.98
6/4/2021 21:00,0.002907889,29779,86.594032,5975.946703,676.9633333
6/5/2021 0:00,0.08052197,26599,2141.803891,5444.574902,681.5233333
6/5/2021 3:00,0.098944867,25290,2502.315677,2432.595131,682.9566667
6/5/2021 6:00,0.017312555,28654,496.073945,5842.746841,681.8866667
6/5/2021 9:00,-0.009153961,32188,-294.6476837,9236.157011,666.3866667
6/5/2021 12:00,-0.01622784,38570,-625.9077765,6576.634112,650.54
6/5/2021 15:00,-0.02250881,40174,-904.2689135,3562.501825,651.26
6/5/2021 18:00,-0.049255565,41443,-2041.29839,2153.193032,652.09
6/5/2021 21:00,-0.072325752,45985,-3325.899698,6182.171166,644.78
6/6/2021 0:00,-0.039449914,32022,-1263.265146,5027.080803,652.8033333
6/6/2021 3:00,-0.057251675,33161,-1898.522789,5474.919668,662.1166667
6/6/2021 6:00,0.005304356,32961,174.8368883,3468.158331,664.1033333
6/6/2021 9:00,-0.025431866,32795,-834.03803,1574.653979,663.3633333
6/6/2021 12:00,-0.036733764,41759,-1533.965255,6004.875603,654.3733333
6/6/2021 15:00,-0.021900452,44309,-970.3871135,5603.119068,658.3166667
6/6/2021 18:00,-0.073882604,46171,-3411.23372,2798.123738,651.01
6/6/2021 21:00,-0.03866199,32463,-1255.084174,1686.916791,652.6133333
6/7/2021 0:00,0.010833282,26317,285.099478,2933.219513,662.7333333
6/7/2021 3:00,0.016314754,26410,430.8726603,1883.882543,665.4266667
6/7/2021 6:00,0.084917726,30963,2629.307555,2649.305178,661.23
6/7/2021 9:00,0.100087023,34128,3415.769927,2903.693768,662.9533333
6/7/2021 12:00,0.014485833,45762,662.9006927,4249.49641,663.4566667
6/7/2021 15:00,-0.014093521,43239,-609.3897471,4436.184258,650.3866667
6/7/2021 18:00,-0.041523156,44580,-1851.102296,10045.37137,638.73
6/7/2021 21:00,-0.070902194,40209,-2850.9063,15697.24166,614.4766667
6/8/2021 0:00,-0.020850435,32025,-667.7351736,15756.38484,597.9566667
6/8/2021 3:00,0.025596089,30269,774.7680189,12336.52744,579.7733333
6/8/2021 6:00,-0.033527997,31446,-1054.3214,7232.473555,578.2
6/8/2021 9:00,-0.065077346,28906,-1881.12576,4217.205008,581.1133333
6/8/2021 12:00,0.04011391,49081,1968.830809,14471.97525,581.3466667
6/8/2021 15:00,-0.046574578,49921,-2325.049484,17650.44246,566.4
6/8/2021 18:00,-0.105066796,40751,-4281.577015,6724.515946,586.89
6/8/2021 21:00,-0.081333305,29486,-2398.193825,4413.115443,598.2366667
6/9/2021 0:00,-0.012325339,25839,-318.4744299,8892.185448,583.3533333
6/9/2021 3:00,-0.050023882,32932,-1647.386485,8318.154398,575.7666667
6/9/2021 6:00,-0.023902956,41576,-993.7893018,3946.419391,591.23
6/9/2021 9:00,-0.016489962,33733,-556.2558951,3849.026455,588.0933333
6/9/2021 12:00,-0.010043659,48576,-487.8807796,7478.774799,604.6666667
6/9/2021 15:00,-0.007179466,55675,-399.7167419,11456.44425,615.1866667
6/9/2021 18:00,-0.031396,46511,-1460.25937,6811.281498,623.8966667
6/9/2021 21:00,-0.042514353,38950,-1655.934053,4703.523383,626.12
6/10/2021 0:00,-0.038908747,36189,-1408.068644,4666.146069,629.0066667
6/10/2021 3:00,0.047498986,30756,1460.878799,5175.824207,624.45
6/10/2021 6:00,0.072188487,29283,2113.895458,5385.884609,614.9933333
6/10/2021 9:00,0.019550966,34487,674.2541525,4819.056469,617.1433333
6/10/2021 12:00,0.039165462,56851,2226.595682,5074.120249,619.24
6/10/2021 15:00,0.034510175,49283,1700.764935,4790.249185,605.2566667
6/10/2021 18:00,-0.044256379,37153,-1644.257267,4636.420417,600.73
6/10/2021 21:00,-0.015161854,28072,-425.6235629,1857.793082,602.7933333
6/11/2021 0:00,0.011755752,26153,307.448194,3681.342401,594.6033333
6/11/2021 3:00,0.070855532,23863,1690.825568,3121.787405,598.3133333
6/11/2021 6:00,0.06285803,25248,1587.039548,3125.28163,599.42
6/11/2021 9:00,0.050785075,29956,1521.317713,3646.086531,604.2066667
6/11/2021 12:00,0.009761599,35777,349.2407211,3234.193195,605.3266667
6/11/2021 15:00,-0.003734193,39419,-147.1981676,7011.158598,591.8566667
6/11/2021 18:00,-0.034081563,32217,-1098.005711,5656.40426,586.3733333
6/11/2021 21:00,-0.052700431,25991,-1369.736908,3693.618984,577.86
6/12/2021 0:00,-0.051589971,21775,-1123.371625,10543.30905,568.77
6/12/2021 3:00,-0.021444824,20118,-431.4269742,4463.691562,552.1966667
6/12/2021 6:00,0.01235704,20322,251.1197583,1906.96352,555.5366667
6/12/2021 9:00,0.001205622,21629,26.07639378,3715.199136,560.2033333
6/12/2021 12:00,0.147228686,39513,5817.447059,4435.631553,574.9833333
6/12/2021 15:00,0.079374483,33778,2681.111275,5375.375332,576.7966667
6/12/2021 18:00,-0.026559933,27258,-723.9706408,2890.762506,584.33
6/12/2021 21:00,0.048706175,24850,1210.348447,2634.01097,584.5566667
6/13/2021 0:00,0.062860498,22005,1383.245268,4596.429143,582.0966667
6/13/2021 3:00,0.111452073,22776,2538.432409,5582.946887,569.0933333
6/13/2021 6:00,0.089846111,22482,2019.920278,1409.016608,563.4866667
6/13/2021 9:00,0.04211504,22962,967.0455461,1367.029892,569.6666667
6/13/2021 12:00,0.044851191,29984,1344.818102,1668.713622,569.8033333
6/13/2021 15:00,0.010429591,37700,393.1955982,2833.387526,573.0533333
6/13/2021 18:00,-0.010644049,44749,-476.3105496,7960.120243,590.7033333
6/13/2021 21:00,-0.024333595,33196,-807.778034,6663.173586,613.74
6/14/2021 0:00,0.009124705,24898,227.1868933,5394.106853,615.4733333
6/14/2021 3:00,0.032392483,23296,754.6152954,3023.347368,612.57
6/14/2021 6:00,0.118483509,31031,3676.661772,5627.682074,614.3466667
6/14/2021 9:00,0.087683105,34501,3025.154819,6013.575745,603.5933333
6/14/2021 12:00,0.060492862,49413,2989.133807,5558.166603,608.8766667
6/14/2021 15:00,0.039049559,44386,1733.253711,5397.144256,627.3566667
6/14/2021 18:00,-0.020803468,36677,-763.0088118,2851.408327,624.1633333
6/14/2021 21:00,-0.013830516,28850,-399.0103725,3871.459087,629.2533333
6/15/2021 0:00,0.03645799,29441,1073.359672,7415.309109,637.3666667
6/15/2021 3:00,0.058023405,26779,1553.808772,3214.554912,640.1166667
6/15/2021 6:00,0.034000941,24960,848.6634831,2717.17582,644.78
6/15/2021 9:00,0.079428037,28160,2236.693509,4712.988005,635.05
6/15/2021 12:00,0.070512579,38362,2705.003538,6847.443582,630.79
6/15/2021 15:00,0.048891705,37504,1833.63449,2058.177092,621.6533333
6/15/2021 18:00,-0.032821598,36066,-1183.743766,4375.075154,628.2933333
6/15/2021 21:00,-0.088111511,25664,-2261.293823,1319.085452,627.2233333
6/16/2021 0:00,-0.02245437,22420,-503.4269758,2850.477447,621.6533333
6/16/2021 3:00,0.058246821,21365,1244.443337,3870.571411,622.9633333
6/16/2021 6:00,0.04475926,22083,988.4187463,2395.437969,624.5566667
6/16/2021 9:00,0.097011526,26815,2601.364071,2978.787621,619.0433333
6/16/2021 12:00,0.112550808,35739,4022.453335,5333.529221,604.42
6/16/2021 15:00,0.03919168,38959,1526.868671,6966.420755,595.3633333
6/16/2021 18:00,-0.015714676,36431,-572.5013573,5921.36118,602.2333333
6/16/2021 21:00,-0.012504271,25912,-324.0106718,2210.783253,599.9733333
6/17/2021 0:00,0.071080364,23222,1650.628218,2921.081086,602.28
6/17/2021 3:00,0.129181633,23529,3039.514653,2069.406171,611.6166667
6/17/2021 6:00,0.108519009,25401,2756.491356,4224.246333,615.5433333
6/17/2021 9:00,-0.043528393,31871,-1387.293415,2750.656938,619.1966667
6/17/2021 12:00,0.008111108,41519,336.7650914,2481.842302,611.1233333
6/17/2021 15:00,0.075337856,50676,3817.821178,8212.267898,605.7533333
6/17/2021 18:00,-0.023013585,39059,-898.8876217,4454.717138,587.45
6/17/2021 21:00,0.035436908,29293,1038.05334,1569.373658,591.1166667
6/18/2021 0:00,-0.006261592,25853,-161.8809458,2829.686905,593.3533333
6/18/2021 3:00,0.047673024,23498,1120.220726,1615.600973,594.03
6/18/2021 6:00,0.026080363,23944,624.4682181,947.3153614,591.76
