time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume BCH,open BCH
1/15/2019 18:00,-0.116391648,4665,-542.9670379,7717.783878,128.25
1/15/2019 21:00,-0.045361175,4892,-221.9068681,3150.565295,125.4166667
1/16/2019 0:00,-0.082884692,3307,-274.0996764,2162.323684,126.7133333
1/16/2019 3:00,-0.107420263,2905,-312.055864,1119.852526,126.4366667
1/16/2019 6:00,-0.109511686,3594,-393.5849995,1205.365621,126.91
1/16/2019 9:00,-0.138429789,4274,-591.6489182,539.6723942,128.2566667
1/16/2019 12:00,-0.100389413,4944,-496.3252579,2878.435671,128.3433333
1/16/2019 15:00,-0.115393145,5005,-577.5426907,4400.102357,128.1133333
1/16/2019 18:00,-0.133809825,4419,-591.3056167,2119.58555,127.9566667
1/16/2019 21:00,-0.134565996,3832,-515.6568967,2072.374526,126.99
1/17/2019 0:00,-0.156862756,3340,-523.921605,1977.059796,127.0066667
1/17/2019 3:00,-0.151892349,2954,-448.6899989,2232.875964,125.65
1/17/2019 6:00,-0.154213942,3448,-531.729672,909.296556,126.2666667
1/17/2019 9:00,-0.145991361,3793,-553.7452323,1648.927462,126.7133333
1/17/2019 12:00,-0.191762253,4783,-917.1988561,2934.782555,128.0133333
1/17/2019 15:00,-0.139167276,5233,-728.2623553,4965.319502,128.55
1/17/2019 18:00,-0.172157871,4667,-803.460784,2133.644661,129.0133333
1/17/2019 21:00,-0.176306834,3889,-685.6572774,2500.252231,128.6733333
1/18/2019 0:00,-0.164398218,3439,-565.3654717,1156.525068,128.98
1/18/2019 3:00,-0.094968912,3240,-307.6992749,774.9550224,128.3766667
1/18/2019 6:00,-0.172488009,3605,-621.8192724,786.6551061,128.1766667
1/18/2019 9:00,-0.119207587,4060,-483.9828032,3630.910498,127.72
1/18/2019 12:00,-0.138198251,4718,-652.0193482,1438.325915,127.3466667
1/18/2019 15:00,-0.07960176,5288,-420.9341069,3059.956575,127.17
1/18/2019 18:00,-0.101023033,4454,-449.956589,2830.891911,125.9
1/18/2019 21:00,-0.180331941,3792,-683.8187203,1304.654472,125.9333333
1/19/2019 0:00,-0.119962277,2946,-353.408868,856.1478938,126.7966667
1/19/2019 3:00,-0.110342508,2513,-277.2907226,465.1853816,127.1833333
1/19/2019 6:00,-0.072680335,2741,-199.2167982,407.9199899,126.39
1/19/2019 9:00,-0.083702051,3295,-275.798258,3259.710662,127.92
1/19/2019 12:00,-0.123429159,3550,-438.1735145,1730.538701,129.69
1/19/2019 15:00,-0.103833379,4115,-427.2743546,1485.165871,129.83
1/19/2019 18:00,-0.208866078,3846,-803.298936,1671.93171,129.58
1/19/2019 21:00,-0.200743504,3365,-675.501891,972.6166726,129.16
1/20/2019 0:00,-0.151538003,2915,-441.7332787,775.0441732,128.8966667
1/20/2019 3:00,-0.129289172,2540,-328.3944969,949.6661198,128.7933333
1/20/2019 6:00,-0.103566045,2553,-264.4041129,1127.810082,128.0733333
1/20/2019 9:00,-0.116807404,2921,-341.1944271,2771.635191,128.2933333
1/20/2019 12:00,-0.181184456,3699,-670.2013027,8223.032433,122.3433333
1/20/2019 15:00,-0.178225399,4210,-750.3289298,3424.854646,121.6
1/20/2019 18:00,-0.1636393,3750,-613.647375,2112.291604,121.2166667
1/20/2019 21:00,-0.147533809,3080,-454.4041317,1992.264311,122.09
1/21/2019 0:00,-0.121343666,2949,-357.842471,2059.983437,122.12
1/21/2019 3:00,-0.110884661,2799,-310.3661661,2151.087007,121.7866667
1/21/2019 6:00,-0.165043842,3284,-542.0039771,604.3526879,121.2566667
1/21/2019 9:00,-0.203183583,3624,-736.3373048,1101.772701,121.2466667
1/21/2019 12:00,-0.17003426,4170,-709.0428642,902.6671174,122.5466667
1/21/2019 15:00,-0.12181093,4808,-585.6669514,1164.22697,121.8533333
1/21/2019 18:00,-0.156930221,4250,-666.9534393,989.399462,121.8966667
1/21/2019 21:00,-0.148444525,3774,-560.2296374,2349.594618,121.4433333
1/22/2019 0:00,-0.185440802,3331,-617.7033115,1755.335943,121.53
1/22/2019 3:00,-0.214743742,2989,-641.8690448,973.2949181,121.4966667
1/22/2019 6:00,-0.171983619,3282,-564.4502376,1677.459288,120.6633333
1/22/2019 9:00,-0.140099841,3963,-555.2156699,6896.573166,120.45
1/22/2019 12:00,-0.164810442,5105,-841.3573064,4335.842625,121.2833333
1/22/2019 15:00,-0.153203022,5033,-771.0708097,11008.31516,123.9766667
1/22/2019 18:00,-0.071764636,4585,-329.0408561,8523.688566,128.8433333
1/22/2019 21:00,-0.157546999,3824,-602.4597242,4778.613404,127.4866667
1/23/2019 0:00,-0.13611185,3040,-413.780024,6399.742673,127.58
1/23/2019 3:00,-0.183636641,2706,-496.9207505,3822.622673,130.1866667
1/23/2019 6:00,-0.170438205,3405,-580.342088,2257.384106,129.3333333
1/23/2019 9:00,-0.20858965,3937,-821.217452,986.0624918,128.8066667
1/23/2019 12:00,-0.167368505,4766,-797.6782948,4426.0035,129.9433333
1/23/2019 15:00,-0.152299325,5422,-825.7669402,9007.836297,130.4866667
1/23/2019 18:00,-0.144044943,5131,-739.0946025,7715.349473,132.5733333
1/23/2019 21:00,-0.115631752,4454,-515.0238234,2754.641554,130.7866667
1/24/2019 0:00,0.011363636,32,0.363636352,4010.291859,130.6566667
1/24/2019 3:00,0,9,0,5114.134864,128.2166667
1/24/2019 6:00,-0.039590655,627,-24.82334069,1363.079403,127.33
1/24/2019 9:00,-0.156149051,3817,-596.0209277,2319.259045,127.6566667
1/24/2019 12:00,-0.145576545,4809,-700.0776049,1116.357348,128.19
1/24/2019 15:00,-0.109895697,4993,-548.7092151,749.7396035,127.83
1/24/2019 18:00,-0.151924515,4715,-716.3240882,1591.267674,127.84
1/24/2019 21:00,-0.124097868,4114,-510.538629,1207.815821,128.4233333
1/25/2019 0:00,-0.086026225,3207,-275.8861036,955.2721541,128.2066667
1/25/2019 3:00,-0.187850292,2784,-522.9752129,967.703563,127.7566667
1/25/2019 6:00,-0.128104026,3340,-427.8674468,2884.022131,126.8666667
1/25/2019 9:00,-0.141624119,3924,-555.733043,2585.197832,125.3033333
