time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume DASH,open DASH
9/17/2019 15:00,-0.153388,5933,-910.051004,2893.866,98
9/17/2019 18:00,-0.134465616,5165,-694.5149066,1359.457,95.953
9/17/2019 21:00,-0.118586768,4251,-504.1123508,292.638,96.16833333
9/18/2019 0:00,-0.137030109,3738,-512.2185474,385.922,94.702
9/18/2019 3:00,-0.165295901,3374,-557.70837,170.08,95.405
9/18/2019 6:00,-0.128787985,4249,-547.2201483,300.662,96.098
9/18/2019 9:00,-0.190933286,4577,-873.90165,204.449,95.40533333
9/18/2019 12:00,-0.164979188,5566,-918.2741604,360.39,95.40133333
9/18/2019 15:00,-0.16431832,5595,-919.3610004,600.227,96.75833333
9/18/2019 18:00,-0.156013032,5097,-795.1984241,521.2318268,97.02233333
9/18/2019 21:00,-0.16106318,4127,-664.7077439,2072.343653,97.57033333
9/19/2019 0:00,-0.189513645,3690,-699.3053501,3839.673753,96.964
9/19/2019 3:00,-0.174265505,3995,-696.1906925,1589.414974,91.76266667
9/19/2019 6:00,-0.142999617,4063,-581.0074439,102.8839972,92.08133333
9/19/2019 9:00,-0.15925394,4374,-696.5767336,461.1281948,92.88233333
9/19/2019 12:00,-0.127243037,5523,-702.7632934,422.6115654,96.619
9/19/2019 15:00,-0.113378719,6249,-708.503615,3383.969314,100.0986667
9/19/2019 18:00,-0.137997379,5780,-797.6248506,5360.392768,100.5476667
9/19/2019 21:00,-0.111952405,4333,-485.0897709,2239.402336,99.14566667
9/20/2019 0:00,-0.107994161,3643,-393.4227285,1009.774795,99.206
9/20/2019 3:00,-0.133258822,3239,-431.6253245,757.1577687,98.93966667
9/20/2019 6:00,-0.15576754,3689,-574.6264551,778.7572641,97.59233333
9/20/2019 9:00,-0.138783395,4069,-564.7096343,371.4509229,97.50133333
9/20/2019 12:00,-0.204726889,5277,-1080.343793,663.5151169,97.58833333
9/20/2019 15:00,-0.180638988,5350,-966.4185858,1083.622396,96.82566667
9/20/2019 18:00,-0.153775622,4711,-724.4369552,469.0297823,95.85733333
9/20/2019 21:00,-0.144025363,3680,-530.0133358,615.8239547,96.13833333
9/21/2019 0:00,-0.164414578,3083,-506.890144,1189.033009,96.57966667
9/21/2019 3:00,-0.185053957,2743,-507.6030041,210.1152298,95.602
9/21/2019 6:00,-0.175044975,3015,-527.7605996,132.023,95.75
9/21/2019 9:00,-0.158298661,3266,-517.0034268,151.0518893,95.09033333
9/21/2019 12:00,-0.212905711,3945,-839.9130299,262.1121202,94.51266667
9/21/2019 15:00,-0.169662311,4141,-702.5716299,360.2437178,94.29333333
9/21/2019 18:00,-0.169298512,3629,-614.3843,543.9806604,93.47533333
9/21/2019 21:00,-0.192786533,3006,-579.5163182,347.706,93.13633333
9/22/2019 0:00,-0.210598503,3064,-645.2738132,585.1569148,92.28133333
9/22/2019 3:00,-0.246939638,2471,-610.1878455,124.3520181,92.376
9/22/2019 6:00,-0.235816939,3029,-714.2895082,82.37082091,92.72433333
9/22/2019 9:00,-0.165952417,3083,-511.6313016,75.70826247,93.319
9/22/2019 12:00,-0.184332168,3645,-671.8907524,156.3988824,92.93866667
9/22/2019 15:00,-0.149083936,4074,-607.3679553,276.8325489,92.232
9/22/2019 18:00,-0.162592639,3750,-609.7223963,997.5059755,91.25366667
9/22/2019 21:00,-0.169796624,3388,-575.2709621,280.5366669,90.87066667
9/23/2019 0:00,-0.176723037,3534,-624.5392128,854.3016606,90.37133333
9/23/2019 3:00,-0.198290211,3240,-642.4602836,113.7085616,89.57066667
9/23/2019 6:00,-0.155489325,3894,-605.4754316,464.7775565,88.97066667
9/23/2019 9:00,-0.193719679,4490,-869.8013587,227.633,89.71366667
9/23/2019 12:00,-0.173678899,5365,-931.7872931,271.7274431,89.774
9/23/2019 15:00,-0.149631246,5273,-789.0055602,271.924,90.24
9/23/2019 18:00,-0.160137419,4810,-770.2609854,405.781548,89.03133333
9/23/2019 21:00,-0.155633622,4326,-673.2710488,407.6868515,88.10266667
9/24/2019 0:00,-0.168540146,3595,-605.9018249,287.6093702,87.42166667
9/24/2019 3:00,-0.181445797,3224,-584.9812495,174.8786378,87.599
9/24/2019 6:00,-0.165133909,3925,-648.1505928,71.84513733,87.72633333
9/24/2019 9:00,-0.203037402,4131,-838.7475077,166.5931159,87.61666667
9/24/2019 12:00,-0.145543518,5395,-785.2072796,973.7324467,86.915
9/24/2019 15:00,-0.13505727,5744,-775.7689589,536.5169421,83.97533333
9/24/2019 18:00,-0.13023565,9940,-1294.542361,3750.829392,79.42666667
9/24/2019 21:00,-0.177539077,5681,-1008.599496,3098.248662,74.77033333
9/25/2019 0:00,-0.173752508,4347,-755.3021523,787.7779234,74.78766667
9/25/2019 3:00,-0.132173406,3870,-511.5110812,1098.388324,73.457
9/25/2019 6:00,-0.139624757,4269,-596.0580876,2057.463902,73.59866667
9/25/2019 9:00,-0.231335044,4893,-1131.92237,578.1247832,71.021
9/25/2019 12:00,-0.16914444,5844,-988.4801074,586.9433266,70.51733333
9/25/2019 15:00,-0.129405729,5722,-740.4595813,744.5336529,71.47033333
9/25/2019 18:00,-0.185459995,5047,-936.0165948,1358.37166,71.108
9/25/2019 21:00,-0.191985727,4188,-804.0362247,752.87397,72.87733333
9/26/2019 0:00,-0.206079558,3352,-690.7786784,576.4735344,72.51566667
9/26/2019 3:00,-0.202662919,3066,-621.3645097,192.7893853,71.911
9/26/2019 6:00,-0.179905451,3770,-678.2435503,588.9067966,72.586
9/26/2019 9:00,-0.214089424,4290,-918.443629,614.5200498,72.93933333
9/26/2019 12:00,-0.142045556,5240,-744.3187134,472.3004727,72.286
9/26/2019 15:00,-0.081537364,6744,-549.8879828,1659.804629,68.26066667
9/26/2019 18:00,-0.141469913,5233,-740.3120547,657.8376473,68.788
9/26/2019 21:00,-0.148575268,4053,-602.1755612,411.9477257,69.00533333
9/27/2019 0:00,-0.159989238,3570,-571.1615797,495.8626877,68.28533333
9/27/2019 3:00,-0.152458058,3245,-494.7263982,147.4324216,68.42833333
9/27/2019 6:00,-0.149797099,4015,-601.4353525,320.3472308,68.391
9/27/2019 9:00,-0.167384065,4368,-731.1335959,311.2318298,68.64933333
9/27/2019 12:00,-0.18909149,5440,-1028.657706,423.330096,68.15333333
9/27/2019 15:00,-0.166984642,5264,-879.0071555,361.0143647,68.564
9/27/2019 18:00,-0.193777135,4641,-899.3196835,1519.621798,70.172
9/27/2019 21:00,-0.176576095,4188,-739.5006859,970.008874,71.63533333
9/28/2019 0:00,-0.187638669,3147,-590.4988913,393.8782938,71.57533333
9/28/2019 3:00,-0.197171851,2863,-564.5030094,166.177108,71.32233333
9/28/2019 6:00,-0.164517037,3295,-542.0836369,598.4994658,71.57833333
9/28/2019 9:00,-0.215235413,3143,-676.4849031,81.18849779,71.832
9/28/2019 12:00,-0.173255343,3962,-686.437669,259.0116352,71.069
9/28/2019 15:00,-0.178286929,4234,-754.8668574,487.3615845,70.87966667
9/28/2019 18:00,-0.152472097,3545,-540.5135839,326.4385282,71.44533333
9/28/2019 21:00,-0.224403098,3439,-771.722254,173.6971459,71.85166667
9/29/2019 0:00,-0.175061529,2879,-504.002142,382.1322486,71.29433333
9/29/2019 3:00,-0.184088725,2621,-482.4965482,136.019955,70.56266667
9/29/2019 6:00,-0.167329204,2769,-463.3345659,1444.035283,69.80966667
9/29/2019 9:00,-0.152786838,3037,-464.013627,260.684,69.412
9/29/2019 12:00,-0.157841234,3919,-618.579796,531.5808153,68.76266667
9/29/2019 15:00,-0.152506719,4149,-632.7503771,700.7737839,68.45433333
9/29/2019 18:00,-0.191058052,3930,-750.8581444,246.72,68.333
9/29/2019 21:00,-0.218383402,3324,-725.9064282,175.6149065,68.63133333
