time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XLM,open XLM
3/18/2019 6:00,-0.142584783,3435,-489.7787296,117611,0.107441667
3/18/2019 9:00,-0.186028525,3985,-741.3236721,452883,0.106321
3/18/2019 12:00,-0.167481009,4963,-831.2082477,96530,0.106493
3/18/2019 15:00,-0.166887729,5106,-852.1287443,2526980,0.110110333
3/18/2019 18:00,-0.15916073,4247,-675.9556203,6955568,0.113693667
3/18/2019 21:00,-0.131947945,3795,-500.7424513,7776779,0.116609667
3/19/2019 0:00,-0.13283378,3131,-415.9025652,5417721,0.116636333
3/19/2019 3:00,-0.215824292,2826,-609.9194492,3457497,0.113614333
3/19/2019 6:00,-0.13151025,3369,-443.0580323,1040549,0.113061333
3/19/2019 9:00,-0.124873472,4112,-513.4797169,2106585,0.114759667
3/19/2019 12:00,-0.09531837,5543,-528.3497249,2817977,0.112385333
3/19/2019 15:00,-0.112828999,5486,-618.9798885,2474980,0.112805667
3/19/2019 18:00,-0.117519089,4448,-522.7249079,3756090,0.112769667
3/19/2019 21:00,-0.146462458,3852,-564.1733882,2238234,0.111903
3/20/2019 0:00,-0.136331392,3241,-441.8500415,2347852,0.111226667
3/20/2019 3:00,-0.13328693,2621,-349.3450435,1939861,0.110861667
3/20/2019 6:00,-0.112344601,3509,-394.2172049,831005,0.110842333
3/20/2019 9:00,-0.133815303,4426,-592.2665311,733173,0.111375
3/20/2019 12:00,-0.133819954,5510,-737.3479465,2970914,0.110490667
3/20/2019 15:00,-0.114622474,5111,-585.8354646,1688968,0.109476667
3/20/2019 18:00,-0.139999236,4780,-669.1963481,1545442,0.109415
3/20/2019 21:00,-0.123000275,4773,-587.0803126,2570108,0.109068
3/21/2019 0:00,-0.079310779,4153,-329.3776652,2161241,0.108979
3/21/2019 3:00,-0.13286108,2920,-387.9543536,1222451,0.109213667
3/21/2019 6:00,-0.103456383,3524,-364.5802937,578694,0.109279333
3/21/2019 9:00,-0.136999881,3902,-534.5735357,949235,0.108941
3/21/2019 12:00,-0.08582513,5216,-447.6638781,4264366,0.108616
3/21/2019 15:00,-0.114821116,5201,-597.1846243,2608460,0.102829333
3/21/2019 18:00,-0.108819953,4583,-498.7218446,1629479,0.105084667
3/21/2019 21:00,-0.170495703,3881,-661.6938233,1195433,0.104997
3/22/2019 0:00,-0.127792229,3008,-384.3990248,1072779,0.105293
3/22/2019 3:00,-0.140922059,2722,-383.5898446,949937,0.105029667
3/22/2019 6:00,-0.095303029,3270,-311.6409048,735901,0.10452
3/22/2019 9:00,-0.155976035,3750,-584.9101313,527857,0.106061667
3/22/2019 12:00,-0.157507671,4623,-728.157963,1527627,0.106778
3/22/2019 15:00,-0.143369326,5005,-717.5634766,2758687,0.108796
3/22/2019 18:00,-0.132498469,4463,-591.3406671,2229293,0.108679333
